insee_com;lib_com
1034;Belley
1072;Ceyzériat
1074;Chalamont
1304;Pont-d'Ain
1333;Saint-André-de-Corcy
1457;Vonnas
2110;Braine
2304;La Fère
2361;Guise
3043;Broût-Vernet
3128;Huriel
4018;Banon
4143;Oraison
5017;La Bâtie-Neuve
7064;Le Cheylard
7319;Le Teil
7349;La Voulte-sur-Rhône
8081;Bogny-sur-Meuse
8362;Rethel
8486;Vireux-Molhain
10323;Romilly-sur-Seine
11049;Bram
11106;Coursan
11116;Cuxac-d'Aude
11315;Rieux-Minervois
11397;Trèbes
12094;Entraygues-sur-Truyère
12096;Espalion
12138;Marcillac-Vallon
12164;Mur-de-Barrez
12185;Pont-de-Salars
12199;Rignac
12298;Villecomtal
13097;Saint-Martin-de-Crau
14047;Bayeux
14191;Courseulles-sur-Mer
14229;Dozulé
14478;Orbec
14515;Port-en-Bessin-Huppain
14692;Tilly-sur-Seulles
14752;Villers-Bocage
15045;Chaudes-Aigues
15120;Mauriac
15138;Murat
15202;Saint-Martin-Valmeroux
15215;Saint-Simon
16005;Aigre
16073;Chalais
16206;Mansle-les-Fontaines
16223;Montbron
16230;Montmoreau
16292;Ruffec
17397;Saint-Savinien
18003;Les Aix-d'Angillon
18018;Avord
18023;Baugy
18108;La Guerche-sur-l'Aubois
18242;Sancoins
19121;Lubersac
21103;Brazey-en-Plaine
21154;Châtillon-sur-Seine
21425;Montbard
21607;Seurre
22084;Jugon-les-Lacs - Commune nouvelle
22121;Lanvollon
22158;Guerlédan
22207;Plouaret
22262;Quintin
22321;Saint-Nicolas-du-Pélem
23001;Ahun
23013;Auzances
23076;Évaux-les-Bains
24164;Excideuil
24520;Sarlat-la-Canéda
25475;Quingey
26166;Loriol-sur-Drôme
27103;Bourg-Achard
27105;Grand Bourgtheroulde
27198;Mesnils-sur-Iton
27213;Vexin-sur-Epte
27275;Gaillon
27507;Saint-André-de-l'Eure
27629;Thiberville
27679;Verneuil d'Avre et d'Iton
28018;Authon-du-Perche
28059;Brezolles
28116;Courville-sur-Eure
28199;Janville-en-Beauce
28348;Saint-Lubin-des-Joncherets
29003;Audierne
29046;Douarnenez
29135;Loctudy
29163;Pleyber-Christ
29195;Plouguerneau
30010;Anduze
30029;Barjac
30212;Remoulins
30259;Saint-Hilaire-de-Brethmas
30350;Le Vigan
31028;Aurignac
31042;Bagnères-de-Luchon
31107;Carbonne
31523;Salies-du-Salat
31584;Villemur-sur-Tarn
32119;Eauze
32160;L'Isle-Jourdain
32213;Lombez
32462;Vic-Fezensac
33036;Bazas
33140;Créon
33240;Lesparre-Médoc
33327;Podensac
34069;Cazouls-lès-Béziers
34142;Lodève
34162;Montagnac
35019;Bazouges-la-Pérouse
35072;Châtillon-en-Vendelais
35109;Étrelles
35124;Grand-Fougeray
35167;Martigné-Ferchaud
35168;Val d'Anast
35173;Melesse
35284;Saint-Jouan-des-Guérets
36141;Neuvy-Saint-Sépulchre
37020;Beaulieu-lès-Loches
37167;Neuillé-Pont-Pierre
38052;Le Bourg-d'Oisans
38130;La Côte-Saint-André
38138;Crémieu
38517;Tullins
39368;Hauts de Bienne
40110;Geaune
40134;Labouheyre
40224;Peyrehorade
40245;Roquefort
41025;Bracieux
41095;Fréteval
41173;Beauce la Romaine
42156;Neulise
42159;Noirétable
42304;Sury-le-Comtal
43051;Le Chambon-sur-Lignon
43077;Costaros
43111;Landos
43163;Riotord
44067;Guémené-Penfao
44098;Missillac
44113;Nozay
44158;Saint-Étienne-de-Montluc
44213;Loireauxence
45030;Beaune-la-Rolande
45187;Lorris
45258;Puiseaux
46201;Montcuq-en-Quercy-Blanc
46225;Prayssac
46231;Puy-l'Évêque
47021;Barbaste
47052;Casteljaloux
47054;Castelmoron-sur-Lot
47106;Fumel
48061;Florac Trois Rivières
48092;Marvejols
48094;Massegros Causses Gorges
48099;Bourgs sur Colagne
49002;Allonnes
49215;Montreuil-Bellay
49261;Gennes-Val-de-Loire
49373;Lys-Haut-Layon
50147;Coutances
50267;Lessay
50393;Percy-en-Normandie
53188;Renazé
54135;Colombey-les-Belles
54425;Piennes
54432;Pont-Saint-Vincent
55502;Stenay
56053;Elven
56073;Guémené-sur-Scorff
56075;Guer
56101;Languidic
56143;Muzillac
56166;Plouay
56190;Réguiny
56198;Rohan
56222;Saint-Jean-Brévelay
56244;Sérent
57160;Creutzwald
57240;Freyming-Merlebach
58134;Imphy
58218;Prémery
59136;Le Cateau-Cambrésis
59153;Condé-sur-l'Escaut
59525;Sains-du-Nord
60471;Noyon
61063;Briouze
61168;La Ferté Macé
61258;Le Mêle-sur-Sarthe
61484;Val-au-Perche
61486;Tinchebray-Bocage
62186;Bully-les-Mines
62361;Frévent
62447;Hesdin
62534;Lumbres
62758;Saint-Martin-Boulogne
62907;Libercourt
63010;Arlanc
63047;La Bourboule
63048;Bourg-Lastic
63103;Châtel-Guyon
63116;Combronde
63125;Courpière
63165;Giat
63236;Mont-Dore
63285;Pontgibaud
63415;Sauxillanges
63457;Vic-le-Comte
64410;Mourenx
64417;Nay
65304;Maubourguet
66003;Amélie-les-Bains-Palalda
66004;Les Angles
66024;Le Boulou
67095;Diemeringen
67324;Niederbronn-les-Bains
67434;Sarre-Union
67520;Wasselonne
68287;Rouffach
69066;Cours
69176;Soucieu-en-Jarrest
69238;Saint-Symphorien-sur-Coise
69287;Saint-Bonnet-de-Mure
70026;Arc-lès-Gray
70228;Faverney
70285;Héricourt
70421;Port-sur-Saône
70451;Ronchamp
70467;Saint-Loup-sur-Semouse
71047;Bourbon-Lancy
71157;Cuiseaux
71190;Épinac
71342;Paray-le-Monial
71543;Tournus
71566;Verdun-sur-le-Doubs
72132;La Ferté-Bernard
72143;Le Grand-Lucé
72179;Malicorne-sur-Sarthe
72180;Mamers
72205;Montbizot
72289;Sainte-Jamme-sur-Sarthe
73105;Les Échelles
73117;Fourneaux
73171;Montmélian
74002;Alby-sur-Chéran
74137;Groisy
74224;La Roche-sur-Foron
74276;Taninges
76219;Doudeville
76254;Étretat
76255;Eu
76258;Terres-de-Caux
76276;Forges-les-Eaux
76462;Neufchâtel-en-Bray
76711;Le Tréport
77159;Donnemarie-Dontilly
77316;Moret-Loing-et-Orvanne
77379;Provins
78062;Beynes
78531;Rosny-sur-Seine
79195;Nueil-les-Aubiers
79299;Saint-Varent
80182;Cayeux-sur-Mer
81105;Graulhet
81219;Puylaurens
81271;Saint-Sulpice-la-Pointe
82013;Beaumont-de-Lomagne
82151;Roquecor
83072;Lorgues
83107;Roquebrune-sur-Argens
83116;Saint-Maximin-la-Sainte-Baume
84003;Apt
84069;Malaucène
84076;Mirabeau
84088;Pernes-les-Fontaines
84129;Sorgues
85128;Luçon
85151;Mortagne-sur-Sèvre
85154;Mouilleron-Saint-Germain
86112;L'Isle-Jourdain
86165;Montmorillon
86207;La Roche-Posay
87059;Le Dorat
87106;Nexon
88078;Bruyères
88310;Monthureux-sur-Saône
88351;Plombières-les-Bains
89073;Champignelles
90053;Grandvillars
91200;Dourdan
91232;La Ferté-Alais
97116;Morne-à-l'Eau
97130;Terre-de-Bas
97232;Le Vauclin
97405;Petite-Île
97424;Cilaos
97614;Ouangani
1185;Plateau d'Hauteville
1244;Meximieux
1269;Nantua
1305;Pont-de-Vaux
1350;Saint-Étienne-du-Bois
1420;Thoissey
1443;Villars-les-Dombes
2141;La Capelle
2430;Liesse-Notre-Dame
2502;Montcornet
2602;Pinon
2738;Tergnier
2758;Vailly-sur-Aisne
2810;Villers-Cotterêts
3036;Bourbon-l'Archambault
3082;Commentry
3161;Marcillat-en-Combraille
3298;Varennes-sur-Allier
4088;Forcalquier
4209;Sisteron
5050;Espinasses
5070;Laragne-Montéglin
5132;Saint-Bonnet-en-Champsaur
5166;Serres
6023;Breil-sur-Roya
6103;Roquebillière
7132;Largentière
8419;Signy-l'Abbaye
8491;Vrigne aux Bois
10034;Bar-sur-Seine
10064;Brienne-le-Château
10080;Chaource
10140;Ervy-le-Châtel
11103;Couiza
11266;Port-la-Nouvelle
11304;Quillan
11379;Sigean
12089;Decazeville
12198;Rieupeyroux
14027;Les Monts d'Aunay
14035;Balleroy-sur-Drôme
14061;Souleuvre en Bocage
14098;Thue et Mue
14126;Cambremer
14143;Caumont-sur-Aure
