Code;Libellé;Aires d'attraction des villes 2020;insee_com;lib_com;Echelle_influence;Dans_influence
01033;Valserhône;T45_20;01033;Valserhône;4.0;Oui
01034;Belley;T01_10;01034;Belley;2.0;Oui
01072;Ceyzériat;T02_20;01072;Ceyzériat;3.0;Oui
01074;Chalamont;T45_20;01074;Chalamont;4.0;Oui
01143;Divonne-les-Bains;T45_20;01143;Divonne-les-Bains;4.0;Oui
01173;Gex;T45_20;01173;Gex;4.0;Oui
01185;Plateau d'Hauteville;T01_10;01185;Plateau d'Hauteville;2.0;Oui
01202;Lagnieu;T01_10;01202;Lagnieu;2.0;Oui
01244;Meximieux;T45_20;01244;Meximieux;4.0;Oui
01265;Montréal-la-Cluse;T02_20;01265;Montréal-la-Cluse;3.0;Oui
01266;Montrevel-en-Bresse;T02_20;01266;Montrevel-en-Bresse;3.0;Oui
01269;Nantua;T00_30;01269;Nantua;1.0;Non
01303;Poncin;T00_30;01303;Poncin;1.0;Non
01304;Pont-d'Ain;T00_30;01304;Pont-d'Ain;1.0;Non
01305;Pont-de-Vaux;T02_20;01305;Pont-de-Vaux;3.0;Oui
01306;Pont-de-Veyle;T02_20;01306;Pont-de-Veyle;3.0;Oui
01333;Saint-André-de-Corcy;T45_20;01333;Saint-André-de-Corcy;4.0;Oui
01350;Saint-Étienne-du-Bois;T02_20;01350;Saint-Étienne-du-Bois;3.0;Oui
01388;Saint-Trivier-de-Courtes;T00_30;01388;Saint-Trivier-de-Courtes;1.0;Non
01420;Thoissey;T01_10;01420;Thoissey;2.0;Oui
01443;Villars-les-Dombes;T45_20;01443;Villars-les-Dombes;4.0;Oui
01457;Vonnas;T02_20;01457;Vonnas;3.0;Oui
02018;Anizy-le-Grand;T02_20;02018;Anizy-le-Grand;3.0;Oui
02095;Bohain-en-Vermandois;T01_10;02095;Bohain-en-Vermandois;2.0;Oui
02110;Braine;T00_30;02110;Braine;1.0;Non
02141;La Capelle;T00_30;02141;La Capelle;1.0;Non
02173;Chauny;T01_10;02173;Chauny;2.0;Oui
02304;La Fère;T01_10;02304;La Fère;2.0;Oui
02305;Fère-en-Tardenois;T00_30;02305;Fère-en-Tardenois;1.0;Non
02307;La Ferté-Milon;T45_20;02307;La Ferté-Milon;4.0;Oui
02334;Fresnoy-le-Grand;T02_20;02334;Fresnoy-le-Grand;3.0;Oui
02360;Villeneuve-sur-Aisne;T03_20;02360;Villeneuve-sur-Aisne;;Non
02361;Guise;T01_10;02361;Guise;2.0;Oui
02381;Hirson;T01_10;02381;Hirson;2.0;Oui
02430;Liesse-Notre-Dame;T02_20;02430;Liesse-Notre-Dame;3.0;Oui
02468;Marle;T00_30;02468;Marle;1.0;Non
02502;Montcornet;T00_30;02502;Montcornet;1.0;Non
02543;Neuilly-Saint-Front;T00_30;02543;Neuilly-Saint-Front;1.0;Non
02558;Le Nouvion-en-Thiérache;T01_10;02558;Le Nouvion-en-Thiérache;2.0;Oui
02602;Pinon;T00_30;02602;Pinon;1.0;Non
02666;Rozoy-sur-Serre;T00_30;02666;Rozoy-sur-Serre;1.0;Non
02676;Saint-Erme-Outre-et-Ramecourt;T02_20;02676;Saint-Erme-Outre-et-Ramecourt;3.0;Oui
02720;Sissonne;T00_30;02720;Sissonne;1.0;Non
02738;Tergnier;T01_10;02738;Tergnier;2.0;Oui
02758;Vailly-sur-Aisne;T02_20;02758;Vailly-sur-Aisne;3.0;Oui
02789;Vervins;T01_10;02789;Vervins;2.0;Oui
02810;Villers-Cotterêts;T45_20;02810;Villers-Cotterêts;4.0;Oui
03036;Bourbon-l'Archambault;T02_20;03036;Bourbon-l'Archambault;3.0;Oui
03043;Broût-Vernet;T00_30;03043;Broût-Vernet;1.0;Non
03082;Commentry;T02_20;03082;Commentry;3.0;Oui
03084;Cosne-d'Allier;T00_30;03084;Cosne-d'Allier;1.0;Non
03102;Dompierre-sur-Besbre;T01_10;03102;Dompierre-sur-Besbre;2.0;Oui
03118;Gannat;T01_10;03118;Gannat;2.0;Oui
03128;Huriel;T02_20;03128;Huriel;3.0;Oui
03138;Lapalisse;T01_10;03138;Lapalisse;2.0;Oui
03161;Marcillat-en-Combraille;T00_30;03161;Marcillat-en-Combraille;1.0;Non
03186;Montmarault;T00_30;03186;Montmarault;1.0;Non
03195;Néris-les-Bains;T02_20;03195;Néris-les-Bains;3.0;Oui
03236;Saint-Germain-des-Fossés;T02_20;03236;Saint-Germain-des-Fossés;3.0;Oui
03254;Saint-Pourçain-sur-Sioule;T01_10;03254;Saint-Pourçain-sur-Sioule;2.0;Oui
03292;Tronget;T00_30;03292;Tronget;1.0;Non
03298;Varennes-sur-Allier;T01_10;03298;Varennes-sur-Allier;2.0;Oui
04008;Annot;T00_30;04008;Annot;1.0;Non
04018;Banon;T00_30;04018;Banon;1.0;Non
04019;Barcelonnette;T01_10;04019;Barcelonnette;2.0;Oui
04039;Castellane;T00_30;04039;Castellane;1.0;Non
04049;Château-Arnoux-Saint-Auban;T01_10;04049;Château-Arnoux-Saint-Auban;2.0;Oui
04088;Forcalquier;T01_10;04088;Forcalquier;2.0;Oui
04143;Oraison;T02_20;04143;Oraison;3.0;Oui
04166;Riez;T00_30;04166;Riez;1.0;Non
04173;Saint-André-les-Alpes;T00_30;04173;Saint-André-les-Alpes;1.0;Non
04205;Seyne;T00_30;04205;Seyne;1.0;Non
04209;Sisteron;T01_10;04209;Sisteron;2.0;Oui
05006;L'Argentière-la-Bessée;T01_20;05006;L'Argentière-la-Bessée;;Non
05017;La Bâtie-Neuve;T02_20;05017;La Bâtie-Neuve;3.0;Oui
05040;Chorges;T02_20;05040;Chorges;3.0;Oui
05046;Embrun;T01_10;05046;Embrun;2.0;Oui
05050;Espinasses;T02_20;05050;Espinasses;3.0;Oui
05065;Guillestre;T00_30;05065;Guillestre;1.0;Non
05070;Laragne-Montéglin;T01_10;05070;Laragne-Montéglin;2.0;Oui
05132;Saint-Bonnet-en-Champsaur;T02_20;05132;Saint-Bonnet-en-Champsaur;3.0;Oui
05166;Serres;T00_30;05166;Serres;1.0;Non
05170;Tallard;T02_20;05170;Tallard;3.0;Oui
05179;Veynes;T02_20;05179;Veynes;3.0;Oui
06023;Breil-sur-Roya;T00_30;06023;Breil-sur-Roya;1.0;Non
06099;Puget-Théniers;T03_20;06099;Puget-Théniers;;Non
06103;Roquebillière;T03_20;06103;Roquebillière;;Non
06130;Saint-Vallier-de-Thiey;T00_30;06130;Saint-Vallier-de-Thiey;1.0;Non
06136;Sospel;T02_20;06136;Sospel;3.0;Oui
06163;Tende;T00_30;06163;Tende;1.0;Non
07042;Bourg-Saint-Andéol;T01_20;07042;Bourg-Saint-Andéol;;Non
07064;Le Cheylard;T01_10;07064;Le Cheylard;2.0;Oui
07132;Largentière;T02_20;07132;Largentière;3.0;Oui
07181;Le Pouzin;T01_10;07181;Le Pouzin;2.0;Oui
07201;Ruoms;T00_30;07201;Ruoms;1.0;Non
07204;Saint-Agrève;T00_30;07204;Saint-Agrève;1.0;Non
07319;Le Teil;T02_20;07319;Le Teil;3.0;Oui
07324;Tournon-sur-Rhône;T01_10;07324;Tournon-sur-Rhône;2.0;Oui
07330;Vallon-Pont-d'Arc;T00_30;07330;Vallon-Pont-d'Arc;1.0;Non
07334;Les Vans;T00_30;07334;Les Vans;1.0;Non
07341;Villeneuve-de-Berg;T02_20;07341;Villeneuve-de-Berg;3.0;Oui
07346;Viviers;T02_20;07346;Viviers;3.0;Oui
07349;La Voulte-sur-Rhône;T01_10;07349;La Voulte-sur-Rhône;2.0;Oui
08025;Attigny;T00_30;08025;Attigny;1.0;Non
08081;Bogny-sur-Meuse;T02_20;08081;Bogny-sur-Meuse;3.0;Oui
