Code;Libellé;Aires d'attraction des villes 2020;insee_com;lib_com;Proximité
01033;Valserhône;T45_20;01033;Valserhône;3.0
01034;Belley;T01_10;01034;Belley;1.0
01072;Ceyzériat;T02_20;01072;Ceyzériat;2.0
01074;Chalamont;T45_20;01074;Chalamont;3.0
01143;Divonne-les-Bains;T45_20;01143;Divonne-les-Bains;3.0
01173;Gex;T45_20;01173;Gex;3.0
01185;Plateau d'Hauteville;T01_10;01185;Plateau d'Hauteville;1.0
01202;Lagnieu;T01_10;01202;Lagnieu;1.0
01244;Meximieux;T45_20;01244;Meximieux;3.0
01265;Montréal-la-Cluse;T02_20;01265;Montréal-la-Cluse;2.0
01266;Montrevel-en-Bresse;T02_20;01266;Montrevel-en-Bresse;2.0
01269;Nantua;T00_30;01269;Nantua;4.0
01303;Poncin;T00_30;01303;Poncin;4.0
01304;Pont-d'Ain;T00_30;01304;Pont-d'Ain;4.0
01305;Pont-de-Vaux;T02_20;01305;Pont-de-Vaux;2.0
01306;Pont-de-Veyle;T02_20;01306;Pont-de-Veyle;2.0
01333;Saint-André-de-Corcy;T45_20;01333;Saint-André-de-Corcy;3.0
01350;Saint-Étienne-du-Bois;T02_20;01350;Saint-Étienne-du-Bois;2.0
01388;Saint-Trivier-de-Courtes;T00_30;01388;Saint-Trivier-de-Courtes;4.0
01420;Thoissey;T01_10;01420;Thoissey;1.0
01443;Villars-les-Dombes;T45_20;01443;Villars-les-Dombes;3.0
01457;Vonnas;T02_20;01457;Vonnas;2.0
02018;Anizy-le-Grand;T02_20;02018;Anizy-le-Grand;2.0
02095;Bohain-en-Vermandois;T01_10;02095;Bohain-en-Vermandois;1.0
02110;Braine;T00_30;02110;Braine;4.0
02141;La Capelle;T00_30;02141;La Capelle;4.0
02173;Chauny;T01_10;02173;Chauny;1.0
02304;La Fère;T01_10;02304;La Fère;1.0
02305;Fère-en-Tardenois;T00_30;02305;Fère-en-Tardenois;4.0
02307;La Ferté-Milon;T45_20;02307;La Ferté-Milon;3.0
02334;Fresnoy-le-Grand;T02_20;02334;Fresnoy-le-Grand;2.0
02360;Villeneuve-sur-Aisne;T03_20;02360;Villeneuve-sur-Aisne;
02361;Guise;T01_10;02361;Guise;1.0
02381;Hirson;T01_10;02381;Hirson;1.0
02430;Liesse-Notre-Dame;T02_20;02430;Liesse-Notre-Dame;2.0
02468;Marle;T00_30;02468;Marle;4.0
02502;Montcornet;T00_30;02502;Montcornet;4.0
02543;Neuilly-Saint-Front;T00_30;02543;Neuilly-Saint-Front;4.0
02558;Le Nouvion-en-Thiérache;T01_10;02558;Le Nouvion-en-Thiérache;1.0
02602;Pinon;T00_30;02602;Pinon;4.0
02666;Rozoy-sur-Serre;T00_30;02666;Rozoy-sur-Serre;4.0
02676;Saint-Erme-Outre-et-Ramecourt;T02_20;02676;Saint-Erme-Outre-et-Ramecourt;2.0
02720;Sissonne;T00_30;02720;Sissonne;4.0
02738;Tergnier;T01_10;02738;Tergnier;1.0
02758;Vailly-sur-Aisne;T02_20;02758;Vailly-sur-Aisne;2.0
02789;Vervins;T01_10;02789;Vervins;1.0
02810;Villers-Cotterêts;T45_20;02810;Villers-Cotterêts;3.0
03036;Bourbon-l'Archambault;T02_20;03036;Bourbon-l'Archambault;2.0
03043;Broût-Vernet;T00_30;03043;Broût-Vernet;4.0
03082;Commentry;T02_20;03082;Commentry;2.0
03084;Cosne-d'Allier;T00_30;03084;Cosne-d'Allier;4.0
03102;Dompierre-sur-Besbre;T01_10;03102;Dompierre-sur-Besbre;1.0
03118;Gannat;T01_10;03118;Gannat;1.0
03128;Huriel;T02_20;03128;Huriel;2.0
03138;Lapalisse;T01_10;03138;Lapalisse;1.0
03161;Marcillat-en-Combraille;T00_30;03161;Marcillat-en-Combraille;4.0
03186;Montmarault;T00_30;03186;Montmarault;4.0
03195;Néris-les-Bains;T02_20;03195;Néris-les-Bains;2.0
03236;Saint-Germain-des-Fossés;T02_20;03236;Saint-Germain-des-Fossés;2.0
03254;Saint-Pourçain-sur-Sioule;T01_10;03254;Saint-Pourçain-sur-Sioule;1.0
03292;Tronget;T00_30;03292;Tronget;4.0
03298;Varennes-sur-Allier;T01_10;03298;Varennes-sur-Allier;1.0
04008;Annot;T00_30;04008;Annot;4.0
04018;Banon;T00_30;04018;Banon;4.0
04019;Barcelonnette;T01_10;04019;Barcelonnette;1.0
04039;Castellane;T00_30;04039;Castellane;4.0
04049;Château-Arnoux-Saint-Auban;T01_10;04049;Château-Arnoux-Saint-Auban;1.0
04088;Forcalquier;T01_10;04088;Forcalquier;1.0
04143;Oraison;T02_20;04143;Oraison;2.0
04166;Riez;T00_30;04166;Riez;4.0
04173;Saint-André-les-Alpes;T00_30;04173;Saint-André-les-Alpes;4.0
04205;Seyne;T00_30;04205;Seyne;4.0
04209;Sisteron;T01_10;04209;Sisteron;1.0
05006;L'Argentière-la-Bessée;T01_20;05006;L'Argentière-la-Bessée;1.0
05017;La Bâtie-Neuve;T02_20;05017;La Bâtie-Neuve;2.0
05040;Chorges;T02_20;05040;Chorges;2.0
05046;Embrun;T01_10;05046;Embrun;1.0
05050;Espinasses;T02_20;05050;Espinasses;2.0
05065;Guillestre;T00_30;05065;Guillestre;4.0
05070;Laragne-Montéglin;T01_10;05070;Laragne-Montéglin;1.0
05132;Saint-Bonnet-en-Champsaur;T02_20;05132;Saint-Bonnet-en-Champsaur;2.0
05166;Serres;T00_30;05166;Serres;4.0
05170;Tallard;T02_20;05170;Tallard;2.0
05179;Veynes;T02_20;05179;Veynes;2.0
06023;Breil-sur-Roya;T00_30;06023;Breil-sur-Roya;4.0
06099;Puget-Théniers;T03_20;06099;Puget-Théniers;
06103;Roquebillière;T03_20;06103;Roquebillière;
06130;Saint-Vallier-de-Thiey;T00_30;06130;Saint-Vallier-de-Thiey;4.0
06136;Sospel;T02_20;06136;Sospel;2.0
06163;Tende;T00_30;06163;Tende;4.0
07042;Bourg-Saint-Andéol;T01_20;07042;Bourg-Saint-Andéol;1.0
07064;Le Cheylard;T01_10;07064;Le Cheylard;1.0
07132;Largentière;T02_20;07132;Largentière;2.0
07181;Le Pouzin;T01_10;07181;Le Pouzin;1.0
07201;Ruoms;T00_30;07201;Ruoms;4.0
07204;Saint-Agrève;T00_30;07204;Saint-Agrève;4.0
07319;Le Teil;T02_20;07319;Le Teil;2.0
07324;Tournon-sur-Rhône;T01_10;07324;Tournon-sur-Rhône;1.0
07330;Vallon-Pont-d'Arc;T00_30;07330;Vallon-Pont-d'Arc;4.0
07334;Les Vans;T00_30;07334;Les Vans;4.0
07341;Villeneuve-de-Berg;T02_20;07341;Villeneuve-de-Berg;2.0
07346;Viviers;T02_20;07346;Viviers;2.0
07349;La Voulte-sur-Rhône;T01_10;07349;La Voulte-sur-Rhône;1.0
08025;Attigny;T00_30;08025;Attigny;4.0
08081;Bogny-sur-Meuse;T02_20;08081;Bogny-sur-Meuse;2.0
08090;Carignan;T01_10;08090;Carignan;1.0
08185;Fumay;T01_10;08185;Fumay;1.0
08190;Givet;T01_10;08190;Givet;1.0
08302;Monthermé;T02_20;08302;Monthermé;2.0
08311;Mouzon;T00_30;08311;Mouzon;4.0
08328;Nouzonville;T02_20;08328;Nouzonville;2.0
08362;Rethel;T03_20;08362;Rethel;
08363;Revin;T01_10;08363;Revin;1.0
08367;Rocroi;T00_30;08367;Rocroi;4.0
08419;Signy-l'Abbaye;T02_20;08419;Signy-l'Abbaye;2.0
08420;Signy-le-Petit;T00_30;08420;Signy-le-Petit;4.0
08486;Vireux-Molhain;T01_20;08486;Vireux-Molhain;1.0
08490;Vouziers;T01_10;08490;Vouziers;1.0
08491;Vrigne aux Bois;T02_20;08491;Vrigne aux Bois;2.0
09032;Ax-les-Thermes;T00_30;09032;Ax-les-Thermes;4.0
09160;Lavelanet;T01_10;09160;Lavelanet;1.0
09167;Lézat-sur-Lèze;T45_20;09167;Lézat-sur-Lèze;3.0
09185;Mazères;T01_10;09185;Mazères;1.0
09194;Mirepoix;T00_30;09194;Mirepoix;4.0
09261;Saint-Girons;T01_10;09261;Saint-Girons;1.0
09282;Saverdun;T45_20;09282;Saverdun;3.0
09306;Tarascon-sur-Ariège;T01_10;09306;Tarascon-sur-Ariège;1.0
10003;Aix-Villemaur-Pâlis;T03_20;10003;Aix-Villemaur-Pâlis;
10006;Arcis-sur-Aube;T03_20;10006;Arcis-sur-Aube;
10033;Bar-sur-Aube;T01_10;10033;Bar-sur-Aube;1.0
10034;Bar-sur-Seine;T01_10;10034;Bar-sur-Seine;1.0
10064;Brienne-le-Château;T01_10;10064;Brienne-le-Château;1.0
10080;Chaource;T03_20;10080;Chaource;
10140;Ervy-le-Châtel;T00_30;10140;Ervy-le-Châtel;4.0
10268;Nogent-sur-Seine;T01_10;10268;Nogent-sur-Seine;1.0
10323;Romilly-sur-Seine;T01_10;10323;Romilly-sur-Seine;1.0
10401;Vendeuvre-sur-Barse;T00_30;10401;Vendeuvre-sur-Barse;4.0
10420;Villenauxe-la-Grande;T00_30;10420;Villenauxe-la-Grande;4.0
11049;Bram;T02_20;11049;Bram;2.0
11076;Castelnaudary;T01_10;11076;Castelnaudary;1.0
11091;Chalabre;T00_30;11091;Chalabre;4.0
11103;Couiza;T00_30;11103;Couiza;4.0
11106;Coursan;T02_20;11106;Coursan;2.0
11116;Cuxac-d'Aude;T02_20;11116;Cuxac-d'Aude;2.0
11129;Espéraza;T00_30;11129;Espéraza;4.0
11170;Gruissan;T02_20;11170;Gruissan;2.0
11203;Lézignan-Corbières;N/A - résultat non disponible;11203;Lézignan-Corbières;
11206;Limoux;T01_10;11206;Limoux;1.0
11266;Port-la-Nouvelle;T01_10;11266;Port-la-Nouvelle;1.0
11304;Quillan;T00_30;11304;Quillan;4.0
11315;Rieux-Minervois;T00_30;11315;Rieux-Minervois;4.0
11379;Sigean;T02_20;11379;Sigean;2.0
11397;Trèbes;T02_20;11397;Trèbes;2.0
12052;Capdenac-Gare;T01_20;12052;Capdenac-Gare;1.0
12056;Baraqueville;T02_20;12056;Baraqueville;2.0
