code_insee;taux_evolution;taux_evolution_due_solde_migratoire;taux_evolution_due_solde_naturel;nombre_d_equipements_culturels;nombre_d_equipements_sportifs;nombre_de_festivals
01033;-0.01;-0.49;0.48;10.0;50;1.0
01202;0.58;0.39;0.19;3.0;19;0.0
01265;0.64;0.34;0.29;1.0;13;0.0
01266;0.93;2.2;-1.28;3.0;12;1.0
01306;0.38;1.63;-1.24;5.0;11;0.0
02173;-0.48;-0.43;-0.05;7.0;48;2.0
02305;-1.19;-0.62;-0.57;5.0;16;0.0
02307;-0.61;-0.31;-0.29;10.0;12;0.0
02381;-0.92;-0.58;-0.34;4.0;38;1.0
02468;-0.44;0.6;-1.04;4.0;11;0.0
02676;-0.71;-1.11;0.39;3.0;4;0.0
03118;-0.24;0.49;-0.72;10.0;21;2.0
03138;0.38;2;-1.63;10.0;15;2.0
03195;-0.9;0.17;-1.07;15.0;14;0.0
04039;-0.96;-0.43;-0.53;8.0;11;0.0
04049;-0.33;-0.13;-0.2;10.0;27;2.0
05006;-0.29;-0.14;-0.15;10.0;18;3.0
05065;-0.07;0.49;-0.55;5.0;19;1.0
05179;0.41;1.27;-0.86;2.0;33;1.0
06130;0.66;0.51;0.15;3.0;12;0.0
06163;-1.21;0.63;-1.84;12.0;12;0.0
07201;0.19;1.78;-1.59;7.0;7;1.0
07204;-0.66;0.41;-1.07;2.0;7;2.0
07324;1.35;1.59;-0.24;18.0;13;2.0
07330;0.71;2.06;-1.36;16.0;11;0.0
07334;-0.08;0.91;-0.99;9.0;9;2.0
08363;-1.88;-1.46;-0.42;8.0;24;1.0
08420;-1.19;0;-1.19;2.0;6;0.0
08490;-1.45;-0.39;-1.06;6.0;24;1.0
09167;0.14;1.68;-1.53;5.0;7;0.0
09306;-1.04;0.2;-1.24;9.0;11;1.0
10003;-0.69;0.07;-0.76;7.0;18;0.0
10006;-0.38;0.62;-1;4.0;17;0.0
10033;-0.77;-0.22;-0.55;19.0;28;2.0
10268;-0.44;-0.54;0.1;10.0;26;0.0
11076;2.13;2.66;-0.53;24.0;57;6.0
11091;0.49;2.8;-2.31;3.0;8;1.0
11129;-2.2;-0.03;-2.17;3.0;9;1.0
12052;-0.5;0.34;-0.84;4.0;10;2.0
12120;0.57;1.33;-0.77;4.0;11;0.0
12197;-0.37;1.13;-1.5;2.0;15;0.0
12208;-0.5;0.15;-0.65;7.0;37;0.0
12209;-0.2;2.33;-2.52;1.0;5;0.0
12270;-0.22;0.17;-0.39;17.0;18;0.0
13100;-0.27;0.27;-0.54;33.0;29;2.0
13105;-0.44;-0.66;0.21;2.0;16;0.0
14174;-1.72;-0.85;-0.87;4.0;15;0.0
14200;-0.73;-0.86;0.13;12.0;12;0.0
14228;-0.3;0.16;-0.46;8.0;21;1.0
14514;0.46;1.51;-1.05;20.0;20;0.0
14764;-0.95;-0.62;-0.33;1.0;9;2.0
15119;0.73;2.31;-1.58;4.0;10;2.0
15187;-0.53;-0.13;-0.39;40.0;28;3.0
15265;-1.49;0.17;-1.65;4.0;10;0.0
15267;0.54;0.57;-0.03;2.0;12;0.0
15268;0.14;2.02;-1.87;1.0;6;0.0
17172;0.91;1.72;-0.81;4.0;13;0.0
17197;0.47;1.72;-1.25;8.0;29;2.0
17347;-0.96;0.55;-1.51;16.0;33;3.0
17387;0.78;1.33;-0.56;5.0;12;0.0
18058;-0.79;0.43;-1.22;4.0;8;0.0
18233;-0.66;0.81;-1.47;3.0;9;0.0
21292;-0.56;-0.53;-0.03;2.0;16;0.0
21554;-1.61;0.97;-2.58;4.0;5;0.0
21603;-0.23;0.85;-1.07;17.0;31;3.0
22025;0.18;2.41;-2.23;3.0;15;2.0
22070;0.49;1.01;-0.52;22.0;22;3.0
22093;0.2;0.38;-0.18;32.0;83;3.0
22162;-0.02;1.48;-1.5;18.0;33;3.0
22183;0.49;0.58;-0.09;7.0;14;0.0
22194;0.17;2.15;-1.98;10.0;17;2.0
23031;-0.45;2.22;-2.67;7.0;9;0.0
23069;0.25;1.19;-0.93;2.0;8;0.0
23070;-0.97;0.89;-1.86;7.0;2;1.0
23100;-1.12;-0.63;-0.49;3.0;6;0.0
23131;-2.04;-0.98;-1.07;2.0;4;0.0
24551;-0.16;1.26;-1.42;4.0;12;0.0
25022;0.57;0.47;0.1;2.0;9;0.0
25334;0.95;1.09;-0.14;2.0;15;0.0
25434;0.25;0.63;-0.38;17.0;19;1.0
25505;-2.29;-0.71;-1.58;1.0;5;0.0
25512;1.54;1.03;0.51;2.0;12;2.0
26095;2.18;2.4;-0.22;2.0;10;0.0
26165;0.71;0.48;0.23;4.0;16;0.0
26307;-1.06;-0.24;-0.82;3.0;13;2.0
27116;-0.42;0.33;-0.75;2.0;16;1.0
27151;-1.15;-0.65;-0.5;1.0;3;0.0
27246;-0.46;-0.59;0.13;1.0;14;0.0
27355;-0.64;-0.19;-0.46;5.0;8;0.0
27377;-0.72;1.04;-1.75;7.0;4;0.0
27493;0.09;-0.15;0.24;2.0;12;0.0
28196;-0.55;0.59;-1.14;10.0;16;0.0
28214;-1;0.2;-1.2;2.0;12;1.0
28391;-0.34;-0.59;0.25;2.0;12;0.0
29024;-0.15;0.85;-1;12.0;33;3.0
29039;1.2;2.03;-0.83;15.0;48;5.0
29043;0.6;1.33;-0.72;6.0;7;0.0
29053;1.03;1.63;-0.6;29.0;7;0.0
29072;-0.14;1.37;-1.5;4.0;10;1.0
29105;0.21;0.26;-0.05;7.0;34;1.0
29162;-0.62;0.17;-0.8;2.0;22;0.0
29217;-0.06;1.53;-1.59;12.0;14;0.0
29284;0.14;1.04;-0.9;7.0;7;2.0
2A247;-0.86;-1.46;0.6;6.0;22;4.0
2B152;0.36;1.21;-0.85;3.0;5;0.0
30032;-0.43;-0.78;0.35;61.0;36;0.0
30133;0.01;1.06;-1.06;8.0;29;1.0
30210;1.25;1.37;-0.12;2.0;13;0.0
30321;0.98;1.05;-0.07;7.0;16;3.0
31454;0.45;0.87;-0.41;2.0;8;0.0
32132;-0.46;0.59;-1.05;4.0;18;2.0
32147;0.45;1.14;-0.69;7.0;23;0.0
32344;-0.69;0.88;-1.57;2.0;20;1.0
33389;0.23;0.86;-0.63;2.0;9;1.0
33402;1.34;3.65;-2.3;10.0;4;4.0
34081;2;2.46;-0.46;6.0;6;0.0
34114;1.89;1.49;0.4;11.0;20;1.0
34150;-0.36;0.29;-0.65;3.0;17;0.0
34189;-1.05;-0.12;-0.92;3.0;13;0.0
34239;1.87;1.54;0.32;1.0;12;0.0
34284;-1.43;0.05;-1.49;8.0;18;1.0
35004;-0.57;0.49;-1.07;6.0;11;0.0
35012;0.53;0.63;-0.1;6.0;12;2.0
35069;1.6;1.07;0.53;6.0;21;3.0
35239;1.04;1.22;-0.18;3.0;10;2.0
35257;1.29;1.6;-0.3;4.0;10;0.0
36031;0.12;1.12;-1.01;5.0;23;1.0
36034;0.16;1.04;-0.87;4.0;15;0.0
36063;0.06;0.19;-0.14;10.0;31;0.0
36230;-1.02;0.37;-1.39;3.0;9;1.0
37091;1.91;1.43;0.48;5.0;7;0.0
37123;-0.96;-0.87;-0.09;11.0;21;1.0
37130;-0.83;1.15;-1.99;5.0;10;1.0
37226;-0.81;0.38;-1.19;11.0;15;0.0
38034;0.38;0.75;-0.37;2.0;12;2.0
38087;1.25;0.38;0.87;1.0;12;0.0
39333;0.4;0.63;-0.24;7.0;14;2.0
39500;-1.58;0.55;-2.12;26.0;15;1.0
40002;0.18;1.24;-1.05;4.0;12;1.0
40102;-0.28;2.13;-2.41;2.0;13;0.0
40119;0.01;0.63;-0.61;3.0;18;0.0
40194;0.24;1.71;-1.48;2.0;7;0.0
40331;0.24;1.28;-1.04;1.0;7;0.0
41123;1.09;4.06;-2.97;2.0;4;0.0
41143;-1.16;1.19;-2.35;6.0;12;0.0
41167;-1.17;-0.61;-0.56;4.0;10;2.0
41171;-0.44;-0.28;-0.16;1.0;7;0.0
41269;-0.99;-0.44;-0.55;30.0;43;8.0
42052;0.08;1.13;-1.05;20.0;17;0.0
42181;-0.82;-0.23;-0.58;2.0;5;0.0
42289;0.45;1.31;-0.86;3.0;5;0.0
43003;-1.66;0.42;-2.08;8.0;7;1.0
43141;-1.57;-0.84;-0.73;2.0;7;0.0
43234;-1.27;0.36;-1.63;9.0;17;1.0
43268;0.52;0.92;-0.41;3.0;31;3.0
44084;1.24;0.8;0.44;4.0;16;0.0
44116;-0.97;-0.05;-0.92;2.0;16;1.0
45053;-1.38;-0.82;-0.57;5.0;17;3.0
45082;0.78;0.48;0.29;8.0;16;0.0
45145;0.47;0.7;-0.23;6.0;11;1.0
46038;0.04;1.09;-1.06;1.0;6;0.0
46045;-0.16;1.08;-1.24;5.0;13;1.0
46063;-0.8;0.11;-0.92;7.0;13;0.0
46251;-0.18;1.06;-1.25;10.0;13;2.0
47143;0.42;1.15;-0.73;1.0;8;0.0
47179;-0.11;0.59;-0.7;5.0;4;0.0
48096;-1.1;1.78;-2.88;4.0;13;0.0
49063;0.02;0.17;-0.15;4.0;26;1.0
49080;0.05;-0.12;0.16;17.0;42;1.0
49244;-0.02;-0.07;0.05;28.0;98;3.0
49331;0.09;0.25;-0.16;36.0;81;4.0
50041;-0.87;-1.11;0.24;33.0;62;1.0
50076;0.97;1.95;-0.98;2.0;12;0.0
50082;-0.29;-0.43;0.14;6.0;16;0.0
50099;0;0.54;-0.53;18.0;29;1.0
50197;0.09;0.53;-0.43;0.0;9;0.0
50218;-0.77;0.36;-1.13;23.0;27;3.0
50292;0.75;1.1;-0.35;3.0;9;0.0
50400;-0.49;-0.05;-0.45;5.0;9;0.0
50551;-1.07;-0.06;-1;6.0;9;0.0
50601;0.33;0.56;-0.23;3.0;14;0.0
50639;-0.23;0.76;-0.99;6.0;15;1.0
52008;-0.31;0.21;-0.52;3.0;4;0.0
52058;-0.68;-0.72;0.04;3.0;11;0.0
52197;-0.58;0.79;-1.37;2.0;11;0.0
52247;-2.07;-1.46;-0.61;0.0;4;0.0
52405;-1.72;-1.65;-0.07;7.0;12;0.0
53062;-0.05;0.32;-0.37;26.0;59;5.0
53152;-0.6;0.28;-0.87;2.0;20;1.0
55122;-1.51;-0.79;-0.72;16.0;24;2.0
55181;-0.64;-0.36;-0.28;3.0;16;0.0
55351;-1.32;-1.23;-0.09;8.0;6;0.0
55533;-0.45;1.08;-1.54;7.0;12;0.0
56091;0.27;2.36;-2.1;22.0;20;2.0
56169;0.15;0.36;-0.21;8.0;25;1.0
56184;1.22;1.43;-0.21;13.0;25;2.0
56186;-0.86;0.72;-1.58;19.0;42;3.0
56240;2.32;3.58;-1.27;12.0;34;3.0
57089;-0.88;-0.59;-0.29;5.0;39;1.0
57097;-0.29;-0.05;-0.24;1.0;24;1.0
57332;-1.24;-0.89;-0.36;5.0;28;1.0
57483;-0.52;-0.33;-0.18;3.0;26;0.0
57650;0.58;0.4;0.17;3.0;9;0.0
58065;-0.67;0.09;-0.76;3.0;6;0.0
58145;-0.43;1.49;-1.92;2.0;5;4.0
58151;-0.86;0.06;-0.92;2.0;9;0.0
58182;-1.09;0.79;-1.88;7.0;5;0.0
58304;-2.45;-0.22;-2.24;11.0;4;0.0
59249;-1.26;-1.2;-0.06;7.0;21;0.0
59571;-0.72;-0.35;-0.37;2.0;10;0.0
60395;-0.44;-1.05;0.61;5.0;32;0.0
60577;-0.13;-0.3;0.18;3.0;9;0.0
61038;-1.2;1.94;-3.14;7.0;12;0.0
61181;-0.99;0.32;-1.31;3.0;10;0.0
61214;-0.48;0;-0.48;13.0;28;2.0
62364;-0.55;0.4;-0.95;1.0;11;0.0
62397;-0.41;-0.36;-0.05;2.0;14;0.0
63040;0.22;1.46;-1.24;25.0;17;3.0
63132;0.77;2.58;-1.81;3.0;7;0.0
64062;0.31;0.64;-0.32;6.0;17;0.0
64063;-0.7;0.67;-1.37;1.0;8;0.0
64233;-0.77;1.16;-1.94;2.0;11;0.0
64331;-0.53;0.13;-0.66;3.0;9;0.0
64405;0.8;0.75;0.05;2.0;32;0.0
64493;1.74;3.55;-1.81;2.0;23;0.0
64519;0.69;0.48;0.2;1.0;19;1.0
65031;-0.54;-0.43;-0.11;7.0;4;0.0
65059;-1.3;0.21;-1.51;17.0;25;7.0
65258;-0.24;0.56;-0.8;4.0;15;0.0
65452;-1.14;1.24;-2.38;4.0;7;0.0
66049;-0.12;0.84;-0.96;9.0;24;6.0
66065;1.43;1.57;-0.14;11.0;25;0.0
66108;0.3;0.55;-0.25;3.0;17;1.0
66125;-1.57;-0.74;-0.83;4.0;4;1.0
66130;0.54;0.98;-0.43;3.0;15;1.0
66222;1.11;3;-1.88;1.0;8;0.0
67020;-1.16;-0.89;-0.27;1.0;2;0.0
67176;0.66;0.51;0.15;1.0;7;0.0
67281;0.61;0.6;0.01;3.0;17;0.0
67291;0.1;0.42;-0.32;1.0;10;0.0
67448;-1.46;-0.67;-0.79;2.0;6;0.0
68162;-1.01;-0.49;-0.52;36.0;19;0.0
68231;0.08;0.84;-0.76;16.0;4;0.0
69010;0.24;-0.21;0.45;4.0;21;0.0
69018;0.29;1.98;-1.7;4.0;10;0.0
69019;1.22;0.98;0.24;7.0;24;1.0
69288;0.7;0.32;0.38;1.0;16;0.0
70120;-0.49;-0.48;-0.01;2.0;14;0.0
70292;-1.17;-0.09;-1.08;5.0;12;1.0
71106;0.37;1.51;-1.14;11.0;14;1.0
71120;-0.22;0.91;-1.13;3.0;16;1.0
71137;0.64;1.61;-0.97;36.0;25;12.0
71158;0.32;2.8;-2.48;5.0;12;3.0
71178;-0.76;-1.11;0.35;2.0;5;0.0
71192;-1.04;0.06;-1.1;1.0;9;0.0
71351;-0.07;1.65;-1.72;5.0;10;0.0
71545;0.49;3.14;-2.64;3.0;5;0.0
72071;-1.09;-0.1;-0.99;11.0;38;1.0
72124;0.59;0.82;-0.24;4.0;21;0.0
72334;-0.9;0.99;-1.9;3.0;23;0.0
72363;-0.06;0.66;-0.72;2.0;14;0.0
73010;0.81;0.49;0.32;1.0;21;0.0
74119;0.45;0.4;0.06;12.0;24;5.0
74169;1.39;0.91;0.47;1.0;7;0.0
74264;1.15;0.3;0.86;3.0;9;0.0
76159;-0.62;-0.64;0.02;6.0;12;0.0
76196;0.29;0.83;-0.54;3.0;8;0.0
76302;0.03;0.15;-0.12;2.0;13;0.0
76312;-0.95;-0.19;-0.76;6.0;13;0.0
76329;-0.32;-0.46;0.14;1.0;9;0.0
76392;-0.6;-0.03;-0.58;0.0;7;0.0
76647;1.51;2.34;-0.83;3.0;9;1.0
76648;-1.32;-0.32;-1.01;1.0;11;0.0
78310;0.76;1.63;-0.87;8.0;15;0.0
78321;1;1.17;-0.17;4.0;13;1.0
78380;0.63;0.55;0.08;7.0;12;0.0
79174;-1.2;-0.02;-1.18;17.0;43;4.0
79202;-0.53;0.02;-0.55;25.0;31;4.0
79307;-1.39;-0.18;-1.21;2.0;14;1.0
79329;-0.15;0.17;-0.32;36.0;50;4.0
80570;-0.03;0.36;-0.39;3.0;19;0.0
80620;-0.8;0.28;-1.08;7.0;57;3.0
80685;-0.88;-0.17;-0.72;4.0;32;1.0
81003;-0.14;-0.05;-0.09;2.0;7;0.0
81033;-0.84;-0.75;-0.09;0.0;20;1.0
81069;-2.7;0.39;-3.09;30.0;8;3.0
81099;0.26;0.61;-0.36;18.0;53;4.0
81222;0.73;1.07;-0.34;2.0;10;1.0
82022;-0.35;0.52;-0.86;1.0;3;0.0
82134;0.43;1.3;-0.87;8.0;21;0.0
83042;-0.86;-1.1;0.24;4.0;20;1.0
83073;0.35;0.48;-0.13;6.0;27;0.0
84054;0.41;0.57;-0.17;17.0;45;6.0
84072;1.18;1.26;-0.07;5.0;18;0.0
84080;0.59;0.17;0.42;5.0;27;0.0
84133;0.59;1.14;-0.56;6.0;11;3.0
85047;1.87;2.28;-0.41;8.0;52;0.0
85065;0.08;0.57;-0.48;1.0;7;0.0
85152;1.52;1.31;0.21;4.0;20;0.0
85288;1.73;2.22;-0.49;6.0;19;0.0
86070;-0.01;0.74;-0.76;14.0;24;2.0
86078;-0.67;1.59;-2.27;7.0;20;1.0
86092;-0.4;0.21;-0.61;1.0;14;0.0
86193;-0.53;0.57;-1.1;1.0;7;0.0
87011;-2.19;-0.95;-1.24;7.0;17;2.0
87040;-0.77;2.07;-2.84;3.0;7;0.0
88095;0.15;0.21;-0.07;4.0;8;0.0
88114;-1.27;-1.11;-0.15;4.0;18;0.0
88124;-1.03;1.14;-2.18;5.0;7;0.0
88181;-0.65;0.77;-1.42;3.0;9;0.0
88304;-1.78;-0.87;-0.91;12.0;21;2.0
89046;-2.65;-1.66;-0.99;4.0;5;0.0
89257;-0.04;0.01;-0.05;3.0;27;1.0
89418;-1.59;-0.73;-0.86;23.0;12;1.0
89461;-0.76;-0.42;-0.34;2.0;7;1.0
91359;0.39;0.28;0.1;4.0;8;0.0
91405;-0.44;0;-0.43;11.0;15;0.0
95652;0.55;0.47;0.08;4.0;13;1.0
97115;2.33;1.77;0.56;11.0;19;0.0
97357;4.59;1.85;2.73;0.0;5;0.0
97401;0.42;-0.42;0.84;3.0;20;0.0
97602;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;1.0;11;0.0
01185;-0.42;0.47;-0.88;3.0;29;2.0
01244;0.92;0.62;0.29;2.0;20;3.0
01269;-0.36;0.12;-0.48;5.0;12;1.0
01305;-0.79;0.62;-1.41;3.0;14;2.0
01350;0.14;-0.24;0.37;1.0;11;0.0
01420;-0.56;0.99;-1.55;2.0;13;0.0
01443;1.77;1.78;-0.01;5.0;18;1.0
02141;-0.41;0.67;-1.08;3.0;14;0.0
02430;-0.38;1.14;-1.52;4.0;8;0.0
02502;-1.59;-1.47;-0.13;3.0;5;0.0
02602;-1.09;-1.08;-0.01;1.0;12;0.0
02738;-0.37;-0.43;0.06;5.0;42;1.0
02758;0.08;0.41;-0.32;2.0;6;0.0
02810;-0.77;-0.99;0.22;13.0;32;0.0
03036;-0.01;1.9;-1.91;13.0;13;2.0
03082;-0.72;0.05;-0.77;4.0;19;0.0
03161;0.15;0.81;-0.67;2.0;6;0.0
03298;0.19;0.79;-0.6;1.0;18;0.0
04088;0.45;1.46;-1.01;18.0;21;4.0
04209;1.09;1.47;-0.38;12.0;20;1.0
05050;1.73;4.32;-2.59;1.0;3;0.0
05070;0.62;1.81;-1.2;3.0;20;5.0
05132;0.48;0.5;-0.02;5.0;14;0.0
05166;0.32;2.55;-2.22;5.0;15;0.0
06023;-0.48;0.75;-1.23;10.0;12;1.0
06103;0.12;1.9;-1.78;2.0;12;0.0
07132;-1.64;-0.83;-0.82;7.0;10;0.0
08419;-0.18;0.9;-1.08;1.0;4;1.0
08491;-0.64;-0.66;0.02;1.0;16;1.0
10034;-0.99;0.64;-1.63;7.0;10;0.0
10064;-0.99;0.49;-1.48;10.0;13;0.0
10080;-1.03;-0.03;-1;2.0;7;2.0
10140;-1.48;2.23;-3.71;5.0;5;0.0
11103;0.03;2.72;-2.69;2.0;8;1.0
11266;0.81;1.84;-1.03;1.0;20;2.0
11304;-1.4;-0.13;-1.26;4.0;22;0.0
11379;0.36;0.63;-0.26;6.0;17;0.0
12089;-1.28;-0.08;-1.2;10.0;22;1.0
12198;-0.48;0.57;-1.05;3.0;11;1.0
14027;-0.66;-0.53;-0.13;4.0;10;0.0
14035;-1.04;-0.62;-0.42;4.0;6;0.0
14061;-0.03;-0.21;0.18;9.0;28;0.0
14098;1.6;0.64;0.96;10.0;20;0.0
14126;-0.6;0.21;-0.81;6.0;6;0.0
14143;0.31;0.63;-0.32;4.0;7;0.0
14225;-1.7;-1.21;-0.49;11.0;14;2.0
14312;-1.04;1.02;-2.06;3.0;7;0.0
14333;-1.61;-1.42;-0.19;66.0;26;2.0
14342;-0.48;0.2;-0.68;5.0;12;0.0
14431;-0.58;-0.78;0.19;22.0;19;0.0
14654;-1.2;-0.57;-0.63;21.0;19;0.0
14711;-0.16;1.26;-1.42;3.0;8;0.0
15175;-0.5;-0.2;-0.29;6.0;4;0.0
16106;0.07;2.77;-2.7;21.0;15;2.0
16192;-0.6;0.35;-0.95;5.0;22;0.0
16281;-0.1;0.42;-0.52;9.0;14;1.0
16286;-0.23;0.72;-0.94;4.0;9;1.0
16366;-0.24;0.39;-0.63;3.0;11;0.0
17224;0.11;1.17;-1.05;6.0;11;0.0
17240;0.09;1;-0.91;2.0;21;2.0
17331;-0.2;1.85;-2.05;3.0;14;0.0
17421;-0.04;1.1;-1.15;1.0;21;2.0
18057;-2.09;-0.25;-1.83;7.0;13;1.0
18087;-1.75;-0.6;-1.15;7.0;13;0.0
18241;-1.16;-0.01;-1.14;8.0;7;1.0
19011;0.36;1.79;-1.43;3.0;7;0.0
19036;0.59;2.86;-2.27;3.0;16;2.0
19138;-0.42;1.44;-1.86;4.0;6;1.0
21501;0.99;2.23;-1.24;4.0;8;0.0
22004;0.3;1.02;-0.71;7.0;22;1.0
22050;0.7;1.97;-1.28;83.0;32;10.0
22136;0.25;0.63;-0.38;5.0;43;1.0
22137;-0.66;0.35;-1;2.0;6;1.0
22143;0.61;1.92;-1.31;3.0;6;1.0
22147;0.15;1.06;-0.91;3.0;18;1.0
22222;0.44;2.12;-1.68;5.0;15;3.0
22362;-0.42;2.59;-3.01;32.0;12;2.0
23008;-1.94;-0.02;-1.92;19.0;21;4.0
23025;0.57;3;-2.44;2.0;14;0.0
23045;-1.33;1.2;-2.54;5.0;10;0.0
23079;-1.59;0.35;-1.94;15.0;22;2.0
23089;-0.56;0.29;-0.85;1.0;4;0.0
23105;-1.1;-0.13;-0.98;2.0;3;0.0
23176;-1.24;-0.25;-0.99;11.0;31;1.0
24028;-0.92;0.33;-1.25;21.0;13;0.0
24294;1.09;2.37;-1.28;4.0;22;0.0
24396;-0.48;0.7;-1.17;6.0;10;0.0
25047;-0.81;-0.01;-0.8;9.0;22;0.0
25237;-0.33;-0.52;0.18;1.0;4;0.0
25315;-1.39;-0.57;-0.82;1.0;19;0.0
25411;0.04;0.08;-0.04;7.0;27;3.0
26063;-0.21;1.65;-1.86;4.0;16;1.0
26114;0.72;2.06;-1.34;8.0;10;3.0
27051;-1.42;-1.39;-0.03;3.0;19;0.0
27056;-1.34;-0.57;-0.77;16.0;44;1.0
27117;-1.5;-1.41;-0.09;3.0;6;0.0
27279;-0.1;-0.24;0.15;2.0;14;1.0
27448;-0.38;0.32;-0.7;3.0;20;0.0
27470;-0.4;-0.52;0.12;0.0;13;0.0
28027;-0.29;1.82;-2.11;2.0;4;0.0
28061;-0.63;0.73;-1.37;4.0;23;0.0
28149;-3.66;-3.25;-0.41;4.0;5;0.0
28279;-0.52;-0.04;-0.48;8.0;16;0.0
28387;-0.57;1.8;-2.36;2.0;9;0.0
29020;0.54;0.51;0.02;6.0;17;1.0
