code_insee;nombre_d_equipements_culturels
01001;1
01004;6
01005;2
01007;4
01008;1
01009;1
01010;2
01012;1
01014;2
01021;6
01022;1
01024;1
01025;3
01026;3
01027;1
01029;2
01030;2
01032;1
01033;10
01034;16
01036;3
01037;1
01038;2
01040;1
01042;1
01043;2
01046;2
01047;1
01049;1
01050;1
01052;2
01053;52
01054;1
01056;2
01057;1
01058;2
01060;1
01061;1
01064;5
01065;2
01067;1
01068;5
01069;2
01071;1
01072;1
01074;4
01075;1
01078;1
01079;1
01080;1
01081;2
01082;2
01083;1
01084;2
01085;1
01088;2
01089;1
01092;2
01093;8
01094;1
01095;3
01096;2
01098;2
01099;3
01100;1
01102;3
01104;2
01105;1
01106;1
01107;1
01108;3
01109;1
01110;1
01112;1
01113;2
01114;1
01115;2
01116;2
01117;1
01118;1
01123;1
01124;1
01125;2
01127;1
01128;1
01129;2
01130;2
01134;2
01135;1
01136;1
01138;3
01139;1
01140;2
01143;3
01145;1
01148;2
01149;1
01150;1
01151;1
01152;1
01153;1
01157;2
01159;2
01160;11
01162;2
01163;2
01165;1
01166;2
01169;1
01173;4
01179;1
01180;1
01183;1
01184;1
01185;3
01187;2
01188;1
01189;2
01190;1
01192;5
01193;1
01194;3
01195;3
01196;1
01197;1
01198;1
01199;4
01200;1
01202;3
01203;1
01208;1
01209;2
01210;1
01211;2
01212;1
01215;1
01216;2
01224;1
01227;1
01228;1
01229;1
01231;1
01232;1
01233;1
01235;1
01236;1
01238;1
01240;1
01241;4
01242;1
01243;2
01244;2
01245;1
01246;1
01247;3
01248;1
01249;7
01250;1
01252;2
01254;2
01258;1
01260;2
01261;2
01262;9
01263;1
01264;2
01265;1
01266;3
01267;2
01268;1
01269;5
01272;2
01273;4
01275;1
01276;1
01281;1
01282;1
01283;10
01284;1
01286;3
01288;1
01289;3
01290;82
01291;2
01294;1
01297;1
01299;2
01301;1
01303;2
01304;2
01305;3
01306;5
01313;2
01317;1
01320;1
01321;1
01322;1
01323;1
01325;2
01329;2
01332;1
01333;2
01334;1
01335;1
01336;1
01337;1
01338;2
01339;4
01342;1
01343;8
01344;1
01345;2
01346;2
01347;1
01348;1
01349;1
01350;1
01351;3
01352;2
01353;2
01354;2
01355;1
01357;1
01358;3
01359;1
01360;1
01361;1
01362;1
01363;2
01364;2
01365;2
01366;2
01368;1
01369;1
01370;2
01371;1
01372;1
01373;1
01374;1
01375;1
01376;1
01378;2
01379;1
01380;2
01381;2
01383;4
01384;2
01385;2
01386;3
01387;2
01388;6
01389;2
01390;2
01391;1
01393;1
01396;1
01397;1
01398;2
01399;1
01400;1
01401;1
01402;2
01403;1
01407;1
01408;2
01412;2
01416;1
01418;1
01419;1
01420;2
01422;1
01423;1
01425;1
01426;3
01427;12
01430;2
01431;1
01432;1
01433;2
01434;1
01435;1
01436;1
01437;2
01441;1
01443;5
01444;1
01445;1
01446;2
01447;1
01449;2
01450;2
01451;2
01452;4
01453;2
01454;1
01456;1
01457;2
02001;1
02003;3
02004;1
02006;1
02008;2
02009;1
02011;3
02013;1
02015;1
02016;1
02018;1
02021;1
02022;2
02023;2
02024;2
02031;3
02035;1
02036;1
