Code;Libellé;Population au dernier recensement 2021;Médiane du revenu disponible par UC 2020;Part des 60-74 ans 2021;Part des moins de 15 ans 2021;Part des 15-29 ans 2021;Part des 30-44 ans 2021;Part des 45-59 ans 2021;Nombre d'équipements sportifs 2023;Taux d'équipements sportifs pour 1 000 habitants 2023;Nombre grandes surfaces 2023;Nombre de supérettes et épieries;Nombre boulangeries et patisseries;Nombre écoles primaires maternelles élémentaires;Nombre de collèges;Nombre de lycées;Nombre de médecins généralistes;Nombre de dentistes;Nombre de pharmacies
1001;L'Abergement-Clémenciat;832;24820;18;19.1;12;18.4;23.8;4;5;0;0;1;1;0;0;0;0;0
1002;L'Abergement-de-Varey;267;23220;15.2;21.3;12.2;21.5;21.8;0;0;0;0;0;0;0;0;0;0;0
1004;Ambérieu-en-Bugey;14854;21070;15.3;18.8;20.7;18.4;17.7;35;2.4;7;4;16;7;2;2;24;15;4
1005;Ambérieux-en-Dombes;1897;24380;15.9;19.4;15.2;20.5;21.9;9;5.1;0;1;1;1;0;0;2;2;1
1006;Ambléon;113;N/A - résultat non disponible;33.4;8.8;12.3;17.5;21.1;0;0;0;0;0;0;0;0;0;0;0
1007;Ambronay;2833;24330;15.6;21.8;14;22.4;19.2;9;3.2;0;1;2;2;0;0;2;0;1
1008;Ambutrix;768;26120;15.1;17.8;17;20.8;24.4;5;6.5;1;0;0;1;0;0;0;0;0
1009;Andert-et-Condon;322;24410;22;15.2;10.9;16.5;21.9;0;0;0;0;0;0;0;0;0;0;0
1010;Anglefort;1125;24700;15.3;20.8;15.1;20.8;20.2;7;6.4;0;1;1;1;0;0;0;0;0
1011;Apremont;383;24690;16.3;22.5;13.4;19.2;21.7;1;2.7;0;0;0;1;0;0;0;0;0
1012;Aranc;327;22300;21.9;18;10.7;19.1;19.8;0;0;0;0;0;1;0;0;0;0;0
1013;Arandas;141;22190;22.5;10.1;15.2;10.1;31.1;2;14;0;0;0;1;0;0;0;0;0
1014;Arbent;3409;21670;18.5;17.8;15.2;17.6;20.8;16;4.8;3;1;2;4;1;0;3;2;1
1015;Arboys en Bugey;667;22960;21;15.3;14.2;16.3;21.7;2;3;0;0;0;1;0;0;0;0;0
1016;Arbigny;459;22280;17.7;22;9.8;22.1;20;1;2.2;0;0;0;0;0;0;0;0;0
1017;Argis;432;20950;22.2;17.9;12.7;19.3;18.4;4;9;0;0;1;1;0;0;0;0;0
1019;Armix;26;N/A - résultat non disponible;38.5;11.5;11.5;11.5;19.2;0;0;0;0;0;0;0;0;0;0;0
1021;Ars-sur-Formans;1498;25400;17.7;19.2;15.7;21;20.8;6;4;0;0;1;2;0;0;3;0;1
1022;Artemare;1177;20990;20.8;14.5;15.2;14;21.6;5;4.1;1;1;3;2;1;0;6;1;1
1023;Asnières-sur-Saône;77;N/A - résultat non disponible;15.8;17;15.8;17.1;30.3;0;0;0;0;0;0;0;0;0;0;0
1024;Attignat;3336;23420;15.2;20;14.3;20.5;21;6;1.8;0;2;3;2;0;0;3;2;1
1025;Bâgé-Dommartin;4065;23880;16.7;21;14.2;19.8;22.1;14;3.4;1;0;2;2;1;0;0;0;1
1026;Bâgé-le-Châtel;979;22100;16.6;17.8;15.4;19.1;16.8;4;4.1;0;0;1;1;0;1;1;0;0
1027;Balan;2692;24870;9.6;19.9;32.8;19.7;15.1;10;3.8;0;4;0;2;0;0;0;0;0
1028;Baneins;621;23400;18.6;24.5;10.5;20.9;19.6;8;12.8;0;0;0;1;0;0;0;0;0
1029;Beaupont;700;21260;19;16.6;15;21;21.1;6;8.8;0;2;1;1;0;0;0;0;0
1030;Beauregard;830;22780;15.3;18.9;16.5;21.4;21.8;7;8.5;0;1;1;1;0;0;0;0;0
1031;Bellignat;3636;20180;17.1;17.8;20.6;17.4;18;20;5.4;1;1;2;4;0;1;1;2;1
1032;Béligneux;3434;22610;11.6;26.1;16.6;22.5;17;18;5.3;1;1;2;2;0;0;1;4;1
1033;Valserhône;16295;23140;14.2;20;17.2;20.6;20.1;50;3;5;7;13;9;2;1;10;6;6
1034;Belley;9239;20550;18.5;16.6;16.2;15.9;19;23;2.5;4;3;12;5;2;4;14;6;4
1035;Belleydoux;306;24930;22.9;17.3;7.5;21;23.8;1;3.2;0;0;0;0;0;0;0;0;0
1036;Valromey-sur-Séran;1342;23680;26.2;16.1;9.7;15.6;20.8;3;2.2;0;0;1;0;0;0;0;0;0
1037;Bénonces;310;21950;16.2;17.9;12;20.4;24;0;0;0;0;0;1;0;0;0;0;0
1038;Bény;764;23550;21.1;17.7;15.7;17.9;19.3;5;6.6;0;0;1;1;0;0;0;0;0
1040;Béréziat;480;23090;14.6;20.8;14.5;21;21.7;6;12.5;0;0;0;1;0;0;0;0;0
1041;Bettant;749;24040;15.2;17.8;15.4;18.9;23.9;3;4;0;0;0;1;0;0;0;0;0
