Code;Libellé;Taux d'équipements socio-culturels pour 10 000 habitants 2023;Taux d'équipements sportifs pour 1 000 habitants 2023;Nombre d'équipements sportifs 2023;Nombre d'équipements socio-culturels 2023;Nombre de licenciés sportifs pour 100 habitants 2021
01001;L'Abergement-Clémenciat;0;5;4;0.0;22.1
01002;L'Abergement-de-Varey;0;0;0;0.0;19.9
01004;Ambérieu-en-Bugey;2.1;2.4;35;3.0;20
01005;Ambérieux-en-Dombes;5.6;5.1;9;1.0;21.8
01006;Ambléon;0;0;0;0.0;19
01007;Ambronay;7.1;3.2;9;2.0;20.6
01008;Ambutrix;13;6.5;5;1.0;19.7
01009;Andert-et-Condon;0;0;0;0.0;17.8
01010;Anglefort;9.1;6.4;7;1.0;14.3
01011;Apremont;0;2.7;1;0.0;23.6
01012;Aranc;30.6;0;0;1.0;12.6
01013;Arandas;0;14;2;0.0;9.3
01014;Arbent;3;4.8;16;1.0;18.8
01015;Arboys en Bugey;0;3;2;0.0;24.6
01016;Arbigny;0;2.2;1;0.0;16
01017;Argis;0;9;4;0.0;8
01019;Armix;0;0;0;0.0;2.4
01021;Ars-sur-Formans;13.4;4;6;2.0;19
01022;Artemare;8.2;4.1;5;1.0;23.3
01023;Asnières-sur-Saône;0;0;0;0.0;13.5
01024;Attignat;3;1.8;6;1.0;28.6
01025;Bâgé-Dommartin;4.9;3.4;14;2.0;26.4
01026;Bâgé-le-Châtel;10.2;4.1;4;1.0;14.5
01027;Balan;3.8;3.8;10;1.0;16.1
01028;Baneins;0;12.8;8;0.0;25.9
01029;Beaupont;14.6;8.8;6;1.0;12.4
01030;Beauregard;12.2;8.5;7;1.0;18.4
01031;Bellignat;0;5.4;20;0.0;17.4
01032;Béligneux;2.9;5.3;18;1.0;17.9
01033;Valserhône;4.3;3;50;7.0;17.2
01034;Belley;4.3;2.5;23;4.0;26.5
01035;Belleydoux;0;3.2;1;0.0;17.9
01036;Valromey-sur-Séran;0;2.2;3;0.0;14
01037;Bénonces;0;0;0;0.0;11
01038;Bény;13.2;6.6;5;1.0;23.6
01040;Béréziat;20.8;12.5;6;1.0;23.5
01041;Bettant;0;4;3;0.0;16.5
01042;Bey;0;6.9;2;0.0;25.2
01043;Beynost;2.1;3.5;17;1.0;25.3
01044;Billiat;0;1.6;1;0.0;17.8
01045;Birieux;0;3.5;1;0.0;20.7
01046;Biziat;11;5.5;5;1.0;17.2
01047;Blyes;7.9;5.5;7;1.0;22
01049;La Boisse;3;4.5;15;1.0;22.1
01050;Boissey;0;2.6;1;0.0;15.3
01051;Bolozon;0;22;2;0.0;6.6
01052;Bouligneux;0;0;0;0.0;17.5
01053;Bourg-en-Bresse;3.6;3.3;136;15.0;18.9
01054;Bourg-Saint-Christophe;6.7;3.4;5;1.0;25.1
01056;Boyeux-Saint-Jérôme;0;2.8;1;0.0;16.8
01057;Boz;19.5;3.9;2;1.0;15.3
01058;Brégnier-Cordon;12.2;11;9;1.0;16.8
01060;Brénod;20.6;12.3;6;1.0;20.2
01061;Brens;8.8;3.5;4;1.0;27.4
01062;Bressolles;0;5.3;5;0.0;23.2
01063;Brion;0;12.5;7;0.0;23.7
01064;Briord;9.1;1.8;2;1.0;30.2
01065;Buellas;5.5;4.9;9;1.0;26.7
01066;La Burbanche;0;10.9;1;0.0;21.1
01067;Ceignes;0;7.7;2;0.0;11.3
01068;Cerdon;13;1.3;1;1.0;13.3
01069;Certines;6.6;4;6;1.0;32.3
01071;Cessy;2;1;5;1.0;24.8
01072;Ceyzériat;3.1;4.1;13;1.0;27.1
01073;Ceyzérieu;0;4;4;0.0;17
01074;Chalamont;3.9;4.3;11;1.0;21.6
01075;Chaleins;0;2.9;4;0.0;24.3
01076;Chaley;0;8.2;1;0.0;7.2
01077;Challes-la-Montagne;0;10.4;2;0.0;17.9
01078;Challex;6.3;2.5;4;1.0;15.8
01079;Champagne-en-Valromey;12.2;6.1;5;1.0;16.3
01080;Champdor-Corcelles;15.7;3.1;2;1.0;22.2
01081;Champfromier;13.8;5.5;4;1.0;15.3
01082;Chanay;15.7;11;7;1.0;10.6
01083;Chaneins;10.4;5.2;5;1.0;22.8
