Code;Libellé;Taux d'équipements socio-culturels pour 10 000 habitants 2023;Taux d'équipements sportifs pour 1 000 habitants 2023;Nombre d'équipements sportifs 2023;Nombre d'équipements socio-culturels 2023;Nombre de licenciés sportifs pour 100 habitants 2021
01033;Valserhône;4.3;3.0;50.0;7.0;17.2
01202;Lagnieu;1.4;2.6;19.0;1.0;20.8
01265;Montréal-la-Cluse;2.9;3.7;13.0;1.0;20.6
01266;Montrevel-en-Bresse;3.9;4.7;12.0;1.0;20.8
01306;Pont-de-Veyle;6.1;6.7;11.0;1.0;18.4
02173;Chauny;4.4;4.2;48.0;5.0;15.2
02305;Fère-en-Tardenois;3.4;5.4;16.0;1.0;14.1
02307;La Ferté-Milon;14.6;5.8;12.0;3.0;16.4
02381;Hirson;4.6;4.4;38.0;4.0;10.0
02468;Marle;4.5;5.0;11.0;1.0;11.8
02676;Saint-Erme-Outre-et-Ramecourt;5.8;2.3;4.0;1.0;12.4
03118;Gannat;8.6;3.6;21.0;5.0;20.2
03138;Lapalisse;15.9;4.8;15.0;5.0;19.2
03195;Néris-les-Bains;7.7;5.4;14.0;2.0;23.2
04039;Castellane;6.8;7.5;11.0;1.0;14.6
04049;Château-Arnoux-Saint-Auban;5.9;5.3;27.0;3.0;19.3
05006;L'Argentière-la-Bessée;8.9;8.0;18.0;2.0;30.9
05065;Guillestre;8.7;8.3;19.0;2.0;38.8
05179;Veynes;6.2;10.2;33.0;2.0;24.8
06130;Saint-Vallier-de-Thiey;2.7;3.3;12.0;1.0;21.7
06163;Tende;9.3;5.6;12.0;2.0;6.1
07201;Ruoms;8.8;3.1;7.0;2.0;18.9
07204;Saint-Agrève;4.3;3.0;7.0;1.0;16.2
07324;Tournon-sur-Rhône;2.8;1.2;13.0;3.0;26.5
07330;Vallon-Pont-d'Arc;4.1;4.5;11.0;1.0;22.0
07334;Les Vans;11.3;3.4;9.0;3.0;17.1
08363;Revin;3.4;4.1;24.0;2.0;11.6
08420;Signy-le-Petit;8.4;5.1;6.0;1.0;17.9
08490;Vouziers;4.8;5.8;24.0;2.0;14.9
09167;Lézat-sur-Lèze;4.2;3.0;7.0;1.0;22.5
09306;Tarascon-sur-Ariège;6.6;3.7;11.0;2.0;17.9
10003;Aix-Villemaur-Pâlis;2.8;5.1;18.0;1.0;8.4
10006;Arcis-sur-Aube;7.2;6.1;17.0;2.0;14.9
10033;Bar-sur-Aube;10.5;5.9;28.0;5.0;13.3
10268;Nogent-sur-Seine;5.0;4.4;26.0;3.0;16.6
11076;Castelnaudary;4.0;4.6;57.0;5.0;19.1
11091;Chalabre;8.8;7.0;8.0;1.0;18.4
11129;Espéraza;5.8;5.3;9.0;1.0;14.7
12052;Capdenac-Gare;6.8;2.3;10.0;3.0;20.9
12120;Laissac-Sévérac l'Église;9.3;5.1;11.0;2.0;28.7
12197;Réquista;10.1;7.6;15.0;2.0;18.8
12208;Saint-Affrique;3.7;4.6;37.0;3.0;24.3
12209;Saint-Amans-des-Cots;13.4;6.7;5.0;1.0;36.9
