code_insee;nombre_de_festivals
01004;2
01007;1
01024;2
01025;1
01033;1
01034;1
01044;1
01053;15
01054;1
01072;1
01093;2
01142;1
01143;1
01153;1
01157;3
01160;7
01173;2
01179;1
01185;2
01197;1
01209;2
01213;1
01216;1
01240;1
01244;3
01249;2
01266;1
01269;1
01281;1
01283;2
01305;2
01343;1
01354;1
01378;1
01390;1
01403;1
01419;1
01427;1
01443;1
01450;1
01451;2
02077;1
02110;1
02168;5
02173;2
02217;1
02328;1
02340;2
02361;1
02381;1
02383;1
02406;1
02408;4
02478;2
02490;1
02528;1
02589;1
02659;1
02680;2
02684;1
02691;2
02706;1
02722;1
02738;1
02789;1
03002;1
03013;1
03023;1
03036;2
03043;1
03064;1
03067;1
03084;2
03095;2
03102;2
03110;1
03118;2
03127;1
03138;2
03140;1
03145;1
03158;1
03185;2
03186;1
03187;1
03189;1
03190;5
03234;1
03236;1
03264;1
03275;3
03292;2
03310;7
03312;1
03316;1
03321;3
04006;1
04018;1
04019;2
04049;2
04061;1
04065;1
04070;5
04088;4
04094;1
04106;1
04112;7
04116;1
04135;1
04166;1
04189;2
04197;1
04202;1
04205;1
04208;1
04209;1
05001;2
05006;3
05017;2
05023;5
05026;1
05038;1
05040;1
05044;1
05046;7
05047;1
05061;12
05063;2
05065;1
05070;5
05082;1
05093;1
05098;1
05101;1
05106;1
05110;3
05114;1
05119;2
05133;2
05139;3
05145;3
05153;1
05177;1
05179;1
05183;1
06004;22
06007;2
06011;4
06012;1
06018;2
06021;1
06023;1
06024;2
06025;1
06027;3
06029;26
06032;2
06033;5
06035;1
06038;2
06043;2
06044;1
06064;2
06065;3
06069;2
06075;1
06079;3
06083;3
06084;3
06085;4
06088;30
06089;1
06094;1
06095;1
06099;2
06104;2
06108;2
06110;1
06112;1
06114;1
06118;2
06120;2
06121;1
06123;3
06128;1
06136;1
06140;3
06143;1
06150;1
06152;2
06153;2
06155;3
06157;9
06161;7
07005;1
07007;1
07010;3
07011;2
07017;1
07019;5
07041;1
07042;2
07045;1
07064;2
07080;1
07107;1
07115;1
07119;1
07133;1
07145;1
07186;2
07190;1
07201;1
07204;2
07233;1
07244;1
07278;2
07281;3
07286;1
07295;1
07297;1
07302;1
07324;2
07332;1
07334;2
07338;1
07341;1
07342;1
07349;2
08024;1
08075;1
08081;1
08089;1
08090;1
08105;11
08145;1
08244;1
08248;2
08321;1
08361;1
08362;1
08363;1
08409;5
08419;1
08449;1
08490;1
08491;1
09014;1
09032;2
09079;1
09085;1
09091;1
09122;7
09185;1
09194;2
09199;1
09224;1
09225;3
09249;1
09257;1
09261;4
09280;2
09282;1
09290;1
09306;1
10018;2
10033;2
10080;2
10081;1
10289;1
10333;1
10357;1
10362;2
10387;9
11005;1
11049;1
11064;1
11068;2
11069;11
11076;6
11081;1
11087;1
11089;1
11091;1
11098;1
11099;2
11103;1
11106;2
11113;1
11123;1
11129;1
11132;1
11136;1
11140;2
11145;1
11150;1
11152;1
11170;1
11185;8
11190;2
11202;3
11203;1
11206;7
11262;12
11266;2
11267;1
11275;1
11279;2
11286;1
11287;1
11297;1
11309;1
11319;1
11351;1
11361;1
11362;1
11369;1
11397;1
11426;2
11435;1
12026;1
12033;1
12052;2
12056;1
12076;1
12089;1
12094;2
12096;1
12101;1
12105;1
12143;1
12145;4
12157;1
12167;2
12168;1
12185;1
12198;1
12202;2
12212;1
12214;2
12223;2
12224;1
12262;3
12264;1
12274;1
12281;1
12300;1
13001;37
13002;4
13004;27
13005;7
13007;1
13014;1
13015;1
13019;1
13021;4
13022;1
13023;1
13024;1
13025;1
13027;1
13028;4
13035;2
13038;2
13039;1
13040;2
13041;3
13042;1
13044;1
13046;3
13047;7
13050;3
13051;3
13054;1
13055;119
13056;2
13060;2
13062;1
13066;1
13069;1
13071;1
13072;2
13074;1
13079;1
13080;2
13082;3
13084;9
13086;1
13087;1
13091;4
13096;1
13097;2
13098;1
13100;2
13103;13
13107;4
13113;3
13116;1
13117;4
13118;1
14011;1
14021;1
14022;1
14047;2
14060;1
14076;1
14077;1
14117;3
14118;19
14191;1
14220;8
14225;2
14228;1
14237;1
14250;1
14258;2
14271;1
14327;4
14333;2
14338;4
14341;1
14366;2
14384;1
14437;4
14488;1
14515;1
14530;1
14562;2
14666;1
14715;3
14726;1
14754;2
14760;1
14762;3
14764;2
15014;8
15038;1
15055;1
15094;1
15117;2
15119;2
15159;1
15187;3
15234;1
15248;1
16007;1
16015;14
16020;1
16031;1
16073;1
16085;1
16102;7
16106;2
16113;1
16154;1
16158;1
16167;1
16182;1
16198;1
16223;1
16225;1
16230;2
16234;1
16281;1
16286;1
16287;2
16291;1
16320;1
16329;1
16348;1
16374;1
16380;1
16384;1
16388;1
16419;1
17004;1
17008;1
17019;1
17022;1
17028;1
17051;2
17077;1
17093;1
17104;1
17121;1
17140;1
17142;1
17163;1
17168;2
17197;2
17201;1
17219;1
17222;1
17225;1
17240;2
17266;1
17274;2
17283;2
17285;1
17291;1
17299;5
17300;21
17306;7
17317;1
17318;1
17333;1
17337;1
17339;2
17347;3
17369;3
17373;1
17380;2
17385;2
17411;2
17415;6
17421;2
17434;4
17444;1
17461;2
18002;1
18003;2
18011;1
18015;1
18031;1
18033;10
18038;1
18054;1
18056;1
18057;1
18079;1
18101;1
18127;1
18142;1
18143;1
18145;1
18157;1
18170;1
18176;1
18195;1
18197;1
18205;1
18207;1
18241;1
18269;2
18279;2
19005;2
19013;1
19031;6
19036;2
19042;1
19057;1
19059;1
19110;1
19123;1
19136;3
19138;1
19148;1
19207;1
19228;1
19251;1
19255;1
19269;1
19272;6
19275;1
19276;4
21008;1
21048;1
21054;4
21056;1
21166;1
