code_insee;mediane_du_revenu_disponible_par_uc_2020;part_des_60-74_ans_2021;part_des_moins_de_15_ans_2021;part_des_15-29_ans_2021;part_des_30-44_ans_2021;part_des_45-59_ans_2021;nombre_grandes_surfaces_2023;nombre_de_superettes_et_epieries;nombre_boulangeries_et_patisseries;nombre_ecoles_primaires_maternelles_elementaires;nombre_de_colleges;nombre_de_lycees;nombre_de_medecins_generalistes;nombre_de_dentistes;nombre_de_pharmacies;taux_evolution;taux_evolution_due_solde_migratoire;taux_evolution_due_solde_naturel;nombre_d_equipements_sportifs;nombre_de_festivals
1033;23140;14.2;20.0;17.2;20.6;20.1;5;7;13;9;2;1;10;6;6;-0.01;-0.49;0.48;50;1.0
1034;20550;18.5;16.6;16.2;15.9;19.0;4;3;12;5;2;4;14;6;4;0.33;0.66;-0.32;23;1.0
1072;25010;16.5;19.7;14.1;18.6;21.1;0;1;4;2;1;0;3;2;1;0.87;1.03;-0.15;13;1.0
1074;22690;14.7;20.3;15.9;18.9;20.1;1;1;4;1;0;0;4;2;1;1.03;1.19;-0.16;11;0.0
1143;45020;13.1;21.0;13.5;22.7;21.1;2;5;5;6;2;0;11;18;2;1.47;1.04;0.43;30;1.0
1173;33730;9.5;20.3;19.9;26.1;19.2;3;2;7;6;2;0;7;2;3;1.89;0.86;1.03;18;2.0
1185;23020;22.4;13.7;14.4;15.8;18.9;2;2;3;5;1;1;3;3;3;-0.42;0.47;-0.88;29;2.0
1202;23160;17.8;18.3;15.7;18.7;18.9;3;0;2;6;1;0;8;10;3;0.58;0.39;0.19;19;0.0
1244;23970;14.7;20.9;16.7;20.5;18.8;5;3;6;7;1;0;5;7;3;0.92;0.62;0.29;20;3.0
1265;20160;16.4;19.1;17.0;17.9;21.4;1;3;4;2;1;0;2;4;2;0.64;0.34;0.29;13;0.0
1266;22060;20.8;13.5;15.7;14.2;19.1;2;0;2;2;1;0;4;3;2;0.93;2.2;-1.28;12;1.0
1269;17640;13.4;20.3;18.1;19.3;18.0;1;5;4;3;1;2;3;2;2;-0.36;0.12;-0.48;12;1.0
1303;21710;16.4;18.2;16.2;19.8;20.1;0;1;2;1;1;0;4;2;1;0.4;0.15;0.25;14;0.0
1304;22190;15.5;19.3;16.9;18.6;20.0;1;1;5;2;1;0;7;2;1;0.02;0.29;-0.27;15;0.0
1305;20060;18.6;13.2;15.8;14.8;17.8;1;1;5;1;1;0;3;3;2;-0.79;0.62;-1.41;14;2.0
1306;21100;16.2;15.4;18.6;17.9;15.6;0;0;2;1;1;1;4;2;1;0.38;1.63;-1.24;11;0.0
1333;26050;18.4;17.6;14.9;18.7;19.4;2;1;4;2;1;0;3;2;1;1.23;1.25;-0.02;15;0.0
1350;23860;17.7;17.9;13.7;18.7;20.8;1;1;4;2;0;0;3;0;1;0.14;-0.24;0.37;11;0.0
1388;20620;19.4;15.4;13.1;15.1;17.6;1;0;3;1;1;0;2;0;1;0.33;2.28;-1.94;8;0.0
1420;19300;16.4;14.9;17.2;15.2;17.7;0;1;1;2;1;0;1;4;1;-0.56;0.99;-1.55;13;0.0
1443;23880;17.0;16.4;17.9;17.0;20.3;4;1;5;2;1;1;11;7;2;1.77;1.78;-0.01;18;1.0
1457;21320;18.1;18.7;16.7;16.1;18.6;2;0;3;2;1;0;2;2;1;1.59;1.5;0.09;13;0.0
2018;20110;19.8;17.8;16.8;16.4;19.1;1;1;2;3;1;0;3;1;1;0.11;0.06;0.05;18;0.0
2095;15620;17.5;20.5;18.1;15.8;19.1;2;3;5;6;2;2;6;1;2;0.15;0.61;-0.46;19;0.0
2110;19820;18.3;18.2;14.1;18.1;17.6;2;1;3;2;1;0;5;2;2;-0.09;0.83;-0.92;10;1.0
2141;18260;22.5;16.6;16.0;16.3;16.9;2;0;2;2;2;1;3;1;2;-0.41;0.67;-1.08;14;0.0
2173;18210;18.2;17.1;18.5;16.2;19.6;6;7;10;13;3;5;10;9;6;-0.48;-0.43;-0.05;48;2.0
2304;15660;14.7;20.0;20.4;18.9;16.3;2;2;3;3;2;1;7;3;2;-0.02;0.74;-0.77;25;0.0
2305;18960;18.7;17.8;13.5;15.6;19.1;3;1;6;3;1;0;2;4;2;-1.19;-0.62;-0.57;16;0.0
2307;22320;18.3;17.5;14.8;18.6;20.2;1;0;2;2;0;1;2;3;1;-0.61;-0.31;-0.29;12;0.0
2334;18600;18.9;18.2;16.7;16.2;20.7;1;1;2;3;1;0;3;5;1;-0.12;-0.14;0.02;12;0.0
2360;22560;16.7;20.1;14.7;20.0;19.3;1;0;2;2;1;0;4;3;1;0.88;0.67;0.21;16;0.0
2361;17300;20.3;15.1;17.8;14.4;18.8;5;3;6;5;2;1;9;2;3;-1.35;-0.52;-0.83;27;1.0
2381;16280;18.5;17.9;19.3;15.6;17.5;7;2;6;9;2;2;10;5;5;-0.92;-0.58;-0.34;38;1.0
2430;19850;19.7;15.5;15.0;18.4;19.4;1;0;2;2;1;0;1;0;1;-0.38;1.14;-1.52;8;0.0
2468;17930;20.7;17.5;16.2;14.6;20.0;3;0;3;1;1;0;3;2;2;-0.44;0.6;-1.04;11;0.0
2502;17200;23.5;16.0;16.4;14.8;19.6;0;2;3;1;1;0;4;1;1;-1.59;-1.47;-0.13;5;0.0
2543;20380;17.9;20.4;15.1;18.7;18.6;2;1;2;3;1;0;1;1;1;-0.9;-0.84;-0.06;10;0.0
2558;18770;19.7;16.0;15.3;15.9;20.0;2;3;3;3;1;0;7;1;1;-1.05;-0.17;-0.88;16;0.0
2602;19670;20.0;18.2;13.6;17.1;21.8;2;0;1;2;0;0;1;1;1;-1.09;-1.08;-0.01;12;0.0
2666;17920;20.3;16.9;13.7;14.4;20.0;2;1;1;2;1;0;2;1;1;-1.0;0.1;-1.1;6;0.0
2676;20520;17.5;21.0;14.4;20.2;19.2;1;0;1;1;0;0;2;0;1;-0.71;-1.11;0.39;4;0.0
2720;18470;15.0;18.8;18.5;21.2;19.4;1;0;2;2;1;0;2;6;1;-0.26;-0.55;0.29;18;0.0
2738;18380;18.0;18.8;17.5;17.1;19.9;3;4;9;14;2;0;5;8;6;-0.37;-0.43;0.06;42;1.0
2758;20300;20.9;16.2;13.7;14.6;21.5;1;1;3;1;1;0;2;2;1;0.08;0.41;-0.32;6;0.0
2789;18310;16.9;18.6;18.3;19.1;17.6;3;2;3;4;1;1;5;2;1;0.64;0.87;-0.23;13;1.0
2810;20030;16.8;17.9;18.5;16.7;20.6;6;5;6;8;2;1;8;11;4;-0.77;-0.99;0.22;32;0.0
3036;21130;22.4;12.3;11.1;14.3;19.0;2;3;4;2;1;0;6;2;2;-0.01;1.9;-1.91;13;2.0
3043;20590;18.4;18.0;12.6;18.9;20.4;0;1;1;2;1;1;2;0;1;0.08;0.35;-0.26;7;1.0
3082;20110;25.2;12.8;12.5;13.4;20.0;2;3;8;5;1;1;7;3;3;-0.72;0.05;-0.77;19;0.0
