code_insee;nombre_d_equipements_sportifs
01001;4
01002;0
01004;35
01005;9
01006;0
01007;9
01008;5
01009;0
01010;7
01011;1
01012;0
01013;2
01014;16
01015;2
01016;1
01017;4
01019;0
01021;6
01022;5
01023;0
01024;6
01025;14
01026;4
01027;10
01028;8
01029;6
01030;7
01031;20
01032;18
01033;50
01034;23
01035;1
01036;3
01037;0
01038;5
01040;6
01041;3
01042;2
01043;17
01044;1
01045;1
01046;5
01047;7
01049;15
01050;1
01051;2
01052;0
01053;136
01054;5
01056;1
01057;2
01058;9
01060;6
01061;4
01062;5
01063;7
01064;2
01065;9
01066;1
01067;2
01068;1
01069;6
01071;5
01072;13
01073;4
01074;11
01075;4
01076;1
01077;2
01078;4
01079;5
01080;2
01081;4
01082;7
01083;5
01084;5
01085;1
01087;4
01088;0
01089;8
01090;2
01092;7
01093;26
01094;3
01095;6
01096;3
01098;3
01099;9
01100;2
01101;0
01102;3
01103;6
01104;4
01105;10
01106;2
01107;0
01108;9
01109;10
01110;2
01111;2
01112;3
01113;5
01114;3
01115;4
01116;3
01117;2
01118;4
01121;1
01123;9
01124;3
01125;2
01127;6
01128;0
01129;3
01130;12
01133;6
01134;7
01135;10
01136;4
01138;20
01139;6
01140;8
01141;1
01142;20
01143;30
01145;6
01146;2
01147;3
01148;7
01149;5
01150;2
01151;7
01152;3
01153;10
01155;4
01156;6
01157;10
01158;2
01159;13
01160;20
01162;0
01163;5
01165;8
01166;4
01167;4
01169;1
01170;2
01171;2
01173;18
01174;6
01175;5
01177;0
01179;7
01180;5
01181;3
01183;5
01184;11
01185;29
01187;9
01188;3
01189;8
01190;2
01191;1
01192;8
01193;1
01194;18
01195;13
01196;3
01197;0
01198;2
01199;9
01200;2
01202;19
01203;4
01204;3
01206;0
01207;2
01208;0
01209;2
01210;5
01211;5
01212;4
01213;7
01214;1
01215;0
01216;1
01219;0
01224;9
01225;0
01227;2
01228;1
01229;13
01230;0
01231;9
01232;16
01233;0
01234;1
01235;6
01236;3
01237;5
01238;5
01239;7
01240;1
01241;8
01242;0
01243;6
01244;20
01245;4
01246;11
01247;5
01248;12
01249;36
01250;13
01252;3
01254;9
01255;0
01257;1
01258;8
01259;2
01260;1
01261;7
01262;18
01263;11
01264;5
01265;13
01266;12
01267;5
01268;2
01269;12
01272;7
01273;9
01274;5
01275;4
01276;6
01277;0
01279;1
01280;3
01281;5
01282;1
01283;40
01284;5
01285;5
01286;5
01288;11
01289;28
01290;6
01291;2
01293;0
01294;5
01295;2
01296;0
01297;1
01298;0
01299;5
01301;6
01302;0
01303;14
