Code;M�diane du revenu disponible par UC 2020;Part des 60-74 ans 2021;Part des moins de 15 ans 2021;Part des 15-29 ans 2021;Part des 30-44 ans 2021;Part des 45-59 ans 2021;Nombre grandes surfaces 2023;Nombre de sup�rettes et �pieries;Nombre boulangeries et patisseries;Nombre �coles primaires maternelles �l�mentaires;Nombre de coll�ges;Nombre de lyc�es;Nombre de m�decins g�n�ralistes;Nombre de dentistes;Nombre de pharmacies
1001;24820;18;19.1;12;18.4;23.8;0;0;1;1;0;0;0;0;0
1002;23220;15.2;21.3;12.2;21.5;21.8;0;0;0;0;0;0;0;0;0
1004;21070;15.3;18.8;20.7;18.4;17.7;7;4;16;7;2;2;24;15;4
1005;24380;15.9;19.4;15.2;20.5;21.9;0;1;1;1;0;0;2;2;1
1006;N/A - r�sultat non disponible;33.4;8.8;12.3;17.5;21.1;0;0;0;0;0;0;0;0;0
1007;24330;15.6;21.8;14;22.4;19.2;0;1;2;2;0;0;2;0;1
1008;26120;15.1;17.8;17;20.8;24.4;1;0;0;1;0;0;0;0;0
1009;24410;22;15.2;10.9;16.5;21.9;0;0;0;0;0;0;0;0;0
1010;24700;15.3;20.8;15.1;20.8;20.2;0;1;1;1;0;0;0;0;0
1011;24690;16.3;22.5;13.4;19.2;21.7;0;0;0;1;0;0;0;0;0
1012;22300;21.9;18;10.7;19.1;19.8;0;0;0;1;0;0;0;0;0
1013;22190;22.5;10.1;15.2;10.1;31.1;0;0;0;1;0;0;0;0;0
1014;21670;18.5;17.8;15.2;17.6;20.8;3;1;2;4;1;0;3;2;1
1015;22960;21;15.3;14.2;16.3;21.7;0;0;0;1;0;0;0;0;0
1016;22280;17.7;22;9.8;22.1;20;0;0;0;0;0;0;0;0;0
1017;20950;22.2;17.9;12.7;19.3;18.4;0;0;1;1;0;0;0;0;0
1019;N/A - r�sultat non disponible;38.5;11.5;11.5;11.5;19.2;0;0;0;0;0;0;0;0;0
1021;25400;17.7;19.2;15.7;21;20.8;0;0;1;2;0;0;3;0;1
1022;20990;20.8;14.5;15.2;14;21.6;1;1;3;2;1;0;6;1;1
1023;N/A - r�sultat non disponible;15.8;17;15.8;17.1;30.3;0;0;0;0;0;0;0;0;0
1024;23420;15.2;20;14.3;20.5;21;0;2;3;2;0;0;3;2;1
1025;23880;16.7;21;14.2;19.8;22.1;1;0;2;2;1;0;0;0;1
1026;22100;16.6;17.8;15.4;19.1;16.8;0;0;1;1;0;1;1;0;0
