Code;Libellé;Taux d'évolution annuel de la population 2015-2021;Taux d'évolution annuel de la population due au solde naturel 2015-2021;Taux d'évolution annuel de la population due au solde migratoire apparent 2015-2021
01033;Valserhône;-0.01;0.48;-0.49
01034;Belley;0.33;-0.32;0.66
01072;Ceyzériat;0.87;-0.15;1.03
01074;Chalamont;1.03;-0.16;1.19
01143;Divonne-les-Bains;1.47;0.43;1.04
01173;Gex;1.89;1.03;0.86
01185;Plateau d'Hauteville;-0.42;-0.88;0.47
01202;Lagnieu;0.58;0.19;0.39
01244;Meximieux;0.92;0.29;0.62
01265;Montréal-la-Cluse;0.64;0.29;0.34
01266;Montrevel-en-Bresse;0.93;-1.28;2.2
01269;Nantua;-0.36;-0.48;0.12
01303;Poncin;0.4;0.25;0.15
01304;Pont-d'Ain;0.02;-0.27;0.29
01305;Pont-de-Vaux;-0.79;-1.41;0.62
01306;Pont-de-Veyle;0.38;-1.24;1.63
01333;Saint-André-de-Corcy;1.23;-0.02;1.25
01350;Saint-Étienne-du-Bois;0.14;0.37;-0.24
01388;Saint-Trivier-de-Courtes;0.33;-1.94;2.28
01420;Thoissey;-0.56;-1.55;0.99
01443;Villars-les-Dombes;1.77;-0.01;1.78
01457;Vonnas;1.59;0.09;1.5
02018;Anizy-le-Grand;0.11;0.05;0.06
02095;Bohain-en-Vermandois;0.15;-0.46;0.61
02110;Braine;-0.09;-0.92;0.83
02141;La Capelle;-0.41;-1.08;0.67
02173;Chauny;-0.48;-0.05;-0.43
02304;La Fère;-0.02;-0.77;0.74
02305;Fère-en-Tardenois;-1.19;-0.57;-0.62
02307;La Ferté-Milon;-0.61;-0.29;-0.31
02334;Fresnoy-le-Grand;-0.12;0.02;-0.14
02360;Villeneuve-sur-Aisne;0.88;0.21;0.67
02361;Guise;-1.35;-0.83;-0.52
02381;Hirson;-0.92;-0.34;-0.58
02430;Liesse-Notre-Dame;-0.38;-1.52;1.14
02468;Marle;-0.44;-1.04;0.6
02502;Montcornet;-1.59;-0.13;-1.47
