Code;Libellé;Taux d'évolution annuel de la population 2015-2021;Taux d'évolution annuel de la population due au solde naturel 2015-2021;Taux d'évolution annuel de la population due au solde migratoire apparent 2015-2021
01001;L'Abergement-Clémenciat;1.36;0.4;0.97
01002;L'Abergement-de-Varey;1.72;0.66;1.06
01004;Ambérieu-en-Bugey;0.84;0.62;0.22
01005;Ambérieux-en-Dombes;2.68;0.59;2.09
01006;Ambléon;0.6;0;0.6
01007;Ambronay;1.34;0.61;0.73
01008;Ambutrix;0.46;0.57;-0.11
01009;Andert-et-Condon;-1;-0.25;-0.75
01010;Anglefort;-0.12;0.44;-0.56
01011;Apremont;-0.3;0.78;-1.08
01012;Aranc;0;N/A - division par 0;N/A - division par 0
01013;Arandas;-1.35;-0.79;-0.56
01014;Arbent;0.08;0.17;-0.09
01015;Arboys en Bugey;0.77;-0.31;1.08
01016;Arbigny;0.22;0.4;-0.18
01017;Argis;-0.04;-0.23;0.19
01019;Armix;1.34;-1.34;2.69
01021;Ars-sur-Formans;1.5;0.56;0.94
01022;Artemare;-0.46;-0.63;0.17
01023;Asnières-sur-Saône;3.13;1.44;1.69
01024;Attignat;0.04;0.65;-0.61
01025;Bâgé-Dommartin;0.01;0.53;-0.52
01026;Bâgé-le-Châtel;1.37;-0.48;1.86
01027;Balan;-1.77;0.71;-2.48
01028;Baneins;0.66;0.49;0.16
01029;Beaupont;0.44;-0.36;0.8
01030;Beauregard;-1.14;0.6;-1.74
01031;Bellignat;0.11;0.57;-0.46
01032;Béligneux;0.67;0.6;0.06
01033;Valserhône;-0.01;0.48;-0.49
01034;Belley;0.33;-0.32;0.66
01035;Belleydoux;-0.48;0;-0.48
01036;Valromey-sur-Séran;0.86;-0.22;1.07
01037;Bénonces;1.23;0.34;0.9
01038;Bény;0.38;0.31;0.07
01040;Béréziat;-0.14;0.38;-0.52
01041;Bettant;-0.09;0.35;-0.44
01042;Bey;1.14;0.36;0.78
01043;Beynost;1.24;0.29;0.96
01044;Billiat;0.68;0.52;0.16
01045;Birieux;-0.17;1.05;-1.22
01046;Biziat;1.27;0.29;0.98
01047;Blyes;4.36;0.94;3.42
01049;La Boisse;2.27;0.79;1.48
01050;Boissey;2.6;0.42;2.17
01051;Bolozon;1.09;0.18;0.91
01052;Bouligneux;0.95;0.21;0.74
01053;Bourg-en-Bresse;0.29;0.05;0.23
01054;Bourg-Saint-Christophe;2.82;0.91;1.91
01056;Boyeux-Saint-Jérôme;-0.28;-0.05;-0.23
01057;Boz;-0.19;0.13;-0.32
01058;Brégnier-Cordon;-0.75;0.32;-1.07
01060;Brénod;-0.57;-0.41;-0.16
01061;Brens;-0.61;0.26;-0.87
01062;Bressolles;1.95;0.62;1.33
01063;Brion;1.88;0.22;1.67
01064;Briord;1.59;0.51;1.07
01065;Buellas;0.74;0.59;0.15
01066;La Burbanche;4.97;-0.62;5.59
01067;Ceignes;0.32;0;0.32
01068;Cerdon;-0.39;-1.23;0.84
01069;Certines;-0.51;0.72;-1.23
01071;Cessy;1.63;0.85;0.77
01072;Ceyzériat;0.87;-0.15;1.03
01073;Ceyzérieu;-0.4;-0.25;-0.15
01074;Chalamont;1.03;-0.16;1.19
01075;Chaleins;2;1.05;0.95
01076;Chaley;-2.46;-0.37;-2.09
01077;Challes-la-Montagne;0;N/A - division par 0;N/A - division par 0
01078;Challex;2.82;-0.37;3.2
01079;Champagne-en-Valromey;0.14;-2.29;2.43
01080;Champdor-Corcelles;-0.46;-0.23;-0.23
