code_insee;taux_evolution;taux_evolution_due_solde_migratoire;taux_evolution_due_solde_naturel
01001;1.36;0.97;0.4
01002;1.72;1.06;0.66
01004;0.84;0.22;0.62
01005;2.68;2.09;0.59
01006;0.6;0.6;0
01007;1.34;0.73;0.61
01008;0.46;-0.11;0.57
01009;-1;-0.75;-0.25
01010;-0.12;-0.56;0.44
01011;-0.3;-1.08;0.78
01012;0;N/A - division par 0;N/A - division par 0
01013;-1.35;-0.56;-0.79
01014;0.08;-0.09;0.17
01015;0.77;1.08;-0.31
01016;0.22;-0.18;0.4
01017;-0.04;0.19;-0.23
01019;1.34;2.69;-1.34
01021;1.5;0.94;0.56
01022;-0.46;0.17;-0.63
01023;3.13;1.69;1.44
01024;0.04;-0.61;0.65
01025;0.01;-0.52;0.53
01026;1.37;1.86;-0.48
01027;-1.77;-2.48;0.71
01028;0.66;0.16;0.49
01029;0.44;0.8;-0.36
01030;-1.14;-1.74;0.6
01031;0.11;-0.46;0.57
01032;0.67;0.06;0.6
01033;-0.01;-0.49;0.48
01034;0.33;0.66;-0.32
01035;-0.48;-0.48;0
01036;0.86;1.07;-0.22
01037;1.23;0.9;0.34
01038;0.38;0.07;0.31
01040;-0.14;-0.52;0.38
01041;-0.09;-0.44;0.35
01042;1.14;0.78;0.36
01043;1.24;0.96;0.29
01044;0.68;0.16;0.52
01045;-0.17;-1.22;1.05
01046;1.27;0.98;0.29
01047;4.36;3.42;0.94
01049;2.27;1.48;0.79
01050;2.6;2.17;0.42
01051;1.09;0.91;0.18
01052;0.95;0.74;0.21
01053;0.29;0.23;0.05
01054;2.82;1.91;0.91
01056;-0.28;-0.23;-0.05
01057;-0.19;-0.32;0.13
01058;-0.75;-1.07;0.32
01060;-0.57;-0.16;-0.41
01061;-0.61;-0.87;0.26
01062;1.95;1.33;0.62
01063;1.88;1.67;0.22
01064;1.59;1.07;0.51
01065;0.74;0.15;0.59
01066;4.97;5.59;-0.62
01067;0.32;0.32;0
01068;-0.39;0.84;-1.23
01069;-0.51;-1.23;0.72
01071;1.63;0.77;0.85
01072;0.87;1.03;-0.15
01073;-0.4;-0.15;-0.25
01074;1.03;1.19;-0.16
01075;2;0.95;1.05
01076;-2.46;-2.09;-0.37
01077;0;N/A - division par 0;N/A - division par 0
01078;2.82;3.2;-0.37
01079;0.14;2.43;-2.29
01080;-0.46;-0.23;-0.23
01081;-0.39;-0.55;0.16
01082;-0.63;-1.11;0.48
01083;2.19;1.56;0.63
01084;2.47;1.36;1.11
01085;0.47;0.04;0.43
01087;-0.35;-0.65;0.29
01088;-0.62;-1.47;0.85
01089;1.82;0.95;0.86
01090;1.26;1.16;0.1
01092;0.86;0.14;0.73
01093;0.49;1.57;-1.09
01094;0.42;0.62;-0.2
01095;0.66;0.23;0.43
01096;0.54;0.21;0.33
01098;2.03;1.4;0.63
01099;0.9;0.52;0.39
01100;-0.98;-0.61;-0.37
01101;-0.65;-0.87;0.22
01102;0.15;-0.17;0.33
01103;6.78;5.61;1.17
01104;-0.55;-0.4;-0.15
01105;3.64;2.49;1.15
01106;0.48;0.67;-0.19
01107;0.61;-0.12;0.73
01108;0.47;2.17;-1.7
01109;0.41;-0.5;0.9
01110;3.84;4.08;-0.23
01111;2.27;1.47;0.8
01112;2.2;0.95;1.25
01113;-0.3;-0.77;0.47
01114;2.49;4.48;-1.99
01115;0.24;-0.54;0.77
01116;-0.33;-0.27;-0.07
01117;0.34;-0.11;0.45
01118;0.66;1.55;-0.89
01121;0.88;0.59;0.29
01123;0.87;0.81;0.06
01124;0.98;0.81;0.17
01125;-0.71;-1.2;0.49
01127;0;N/A - division par 0;N/A - division par 0
01128;-0.22;-0.45;0.22
01129;2.3;1.3;1
01130;0.93;0.29;0.64
01133;0;N/A - division par 0;N/A - division par 0
01134;0.87;0.43;0.43
01135;1.32;0.82;0.5
01136;2.11;1.75;0.36
01138;-0.57;-1.06;0.49
01139;0.19;0.48;-0.3
01140;0.28;0.56;-0.28
01141;0.31;0.35;-0.04
01142;0.65;-0.22;0.86
01143;1.47;1.04;0.43
01145;0.65;0.25;0.4
01146;0.31;-0.04;0.35
01147;1.54;1.2;0.33
01148;0.95;0.73;0.22
01149;0.56;0;0.56
01150;-0.31;-1;0.69
01151;-0.15;-0.23;0.09
01152;0.07;-0.09;0.15
01153;-0.65;-1.23;0.58
01155;-0.23;-0.35;0.12
01156;1.61;1.29;0.32
01157;1.74;1.27;0.47
01158;0.96;0.44;0.52
01159;0.67;0.46;0.21
01160;2.38;1.69;0.69
01162;-0.76;-0.76;0
01163;-0.31;-0.05;-0.26
01165;0.39;-0.2;0.6
01166;1.54;0.89;0.64
01167;-0.1;-0.43;0.33
01169;1.63;0.81;0.81
01170;0.35;-0.32;0.68
01171;-1.41;-1.82;0.42
01173;1.89;0.86;1.03
01174;-0.28;0;-0.28
01175;-1.37;-1.74;0.36
01177;0.65;0.37;0.28
01179;0.09;0.16;-0.07
01180;1.46;1.28;0.18
01181;0.23;0.49;-0.26
01183;0.76;0.19;0.56
01184;-0.73;-0.84;0.11
01185;-0.42;0.47;-0.88
